Summary_file = referenc.sum
Title = 
      year       day             no3(1)             no3(2)             no3(3)          sw_dep(1)          sw_dep(2)          sw_dep(3)       tt_tot()            lai        biomass avg@mungbean_swdef_photo avg@mungbean_nfact_photo   plant_status      dm_dead()          yield     residue_wt      residue_n        fom_c()        fom_n()        node_no        leaf_no    dlt_leaf_no    dlt_node_no             rlv(1)             rlv(2)             rlv(3)  root_length()    dm_green(1)         height sum@mungbean_dlt_n_fixed_pot sum@mungbean_dlt_n_fixed sum@mungbean_n_supply_soil    n_conc_crit       n_demand    n_conc_crit        root_wt         root_n     root_depth
    (year)     (day)            (kg/ha)            (kg/ha)            (kg/ha)               (mm)               (mm)               (mm)           (oC)      (m^2/m^2)        (kg/ha)                      (?)                      (?)             ()        (g/m^2)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)             ()             ()             ()             ()           (mm/mm3)           (mm/mm3)           (mm/mm3)       (mm/mm2)        (g/m^2)           (mm)                          (?)                      (?)                        (?)            (%)        (g/m^2)            (%)        (g/m^2)        (g/m^2)           (mm)
      1991        11              1.635             37.583             45.037             35.267             80.210             78.108          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000       2273.882         38.651        562.526         20.757          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991        18              1.742             37.813             45.557             35.059             79.841             79.264          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000       1319.798         22.434        424.286         15.533          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991        25              3.735             38.557             45.775             31.055             79.498             79.732          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000        711.265         12.090        326.049         11.849          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991        32              6.547             39.497             45.909             31.452             79.495             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000        382.837          6.507        259.964          9.385          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991        39              9.925             40.603             45.921             32.769             79.358             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000        206.359          3.508        210.216          7.537          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991        46             13.438             41.758             45.939             28.456             79.326             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000        118.078          2.007        175.038          6.234          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991        53             17.160             43.176             45.964             34.065             79.533             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000         62.689          1.066        145.060          5.128          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991        60             20.551             44.367             45.989             29.623             79.377             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000         34.545          0.587        124.676          4.379          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991        67             23.594             45.803             46.018             35.989             79.602             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000         18.119          0.308        108.705          3.794          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991        74             26.974             47.125             46.049             29.602             79.410             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          9.842          0.167         95.448          3.311          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991        81             30.311             48.844             46.084             34.374             79.560             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          5.221          0.089         83.838          2.890          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991        88             33.865             50.469             46.121             33.666             79.434             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          2.784          0.047         74.046          2.537          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991        95             36.407             51.917             46.154             30.195             79.412             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          1.491          0.025         67.566          2.305          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991       102             38.630             53.287             46.185             31.363             79.374             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.846          0.014         62.561          2.126          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991       109             40.659             54.738             46.216             31.311             79.407             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.493          0.008         58.369          1.978          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991       116             42.837             56.269             46.249             31.695             79.427             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.288          0.005         54.412          1.839          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991       123             44.821             57.442             46.278             29.790             79.210             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.181          0.003         51.328          1.730          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991       130             46.133             59.164             46.307             36.944             79.541             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.116          0.002         48.637          1.637          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991       137             47.363             60.321             46.332             37.218             79.512             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.083          0.001         46.636          1.567          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991       144             48.884             61.158             46.357             32.836             79.243             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         44.828          1.505          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991       151             50.196             62.498             46.383             32.000             79.302             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         42.941          1.440          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991       158             51.092             63.785             46.407             35.986             79.424             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         41.436          1.388          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991       165             52.059             64.495             46.426             33.743             79.195             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         40.320          1.350          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991       172             52.572             65.859             46.447             36.653             79.468             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         39.157          1.310          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991       179             53.895             66.544             46.468             33.088             79.143             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         37.962          1.269          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991       186             54.504             67.944             46.488             35.768             79.370             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         36.807          1.230          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991       193             55.537             68.528             46.506             31.736             79.087             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         35.895          1.199          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991       200             55.481             69.603             46.520             33.757             79.302             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         35.326          1.179          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991       207             55.682             70.755             46.535             37.715             79.543             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         34.611          1.155          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991       214             56.015             71.639             46.549             37.186             79.549             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         33.981          1.134          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991       221             57.095             72.614             46.568             34.140             79.429             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         32.975          1.100          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991       228             57.968             73.371             46.584             29.859             79.222             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         32.169          1.073          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991       235             58.378             74.901             46.601             36.227             79.532             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         31.251          1.042          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991       242             59.380             75.787             46.618             31.775             79.355             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         30.375          1.012          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991       249             59.870             77.212             46.634             35.599             79.586             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         29.505          0.983          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991       256             60.978             78.428             46.653             35.878             79.546             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         28.498          0.949          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991       263             62.156             79.746             46.672             35.060             79.534             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         27.448          0.914          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991       270             63.591             81.012             46.691             29.623             79.414             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         26.350          0.877          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991       277             64.899             82.859             46.713             34.740             79.564             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         25.105          0.835          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991       284             66.472             84.151             46.733             29.998             79.393             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         23.992          0.798          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991       291             67.783             85.867             46.753             29.548             79.452             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         22.884          0.761          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991       298             68.638             87.583             46.771             35.695             79.609             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         21.938          0.729          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991       305             69.797             88.884             46.788             34.938             79.509             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         21.082          0.701          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991       312             71.429             90.281             46.808             29.664             79.336             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         20.104          0.668          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991       319             72.547             92.456             46.829             34.977             79.551             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         19.039          0.632          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991       326             73.882             93.846             46.847             29.708             79.432             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         18.178          0.604          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991       333             74.817             95.728             46.865             33.655             79.531             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         17.335          0.575          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991       340             76.218             97.099             46.883             29.646             79.354             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         16.533          0.549          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991       347             77.237             98.597             46.900             29.651             79.350             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         15.816          0.525          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991       354             78.434            100.495             46.920             29.633             79.367             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         15.011          0.498          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1991       361             79.569            102.702             46.941             31.120             79.496             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         14.147          0.469          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1992         3             81.185            104.473             46.962             29.637             79.363             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         13.308          0.441          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1992        10            101.000              1.000              1.000             30.000             60.000             40.000          0.000          0.000          0.000                    0.000                    0.000          alive          0.000          0.000          0.000          0.000         12.642          0.419          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1992        17             39.545             47.373             21.123             34.149             80.702             77.283        123.562          0.011         23.484                    0.750                    0.625          alive          0.000          0.000          0.000          0.000         12.123          0.398          2.091          2.091          0.028          0.028              0.001              0.000              0.000          0.255          4.245          1.292                        0.032                    0.002                      0.018          5.683          0.006          5.683          4.245          0.064        250.000
      1992        24             39.493             48.541             22.298             27.396             79.335             79.105        237.989          0.056         44.899                    1.000                    1.000          alive          0.000          0.000          0.000          0.000         11.945          0.386          2.630          2.630          0.138          0.138              0.002              0.000              0.000          0.373          6.209          9.983                        0.069                    0.038                      0.089          5.088          0.038          5.088          6.209          0.093        460.000
      1992        31             37.625             50.491             22.586             37.584             79.250             79.521        348.819          0.202        118.401                    1.000                    1.000          alive          0.000          0.000          0.000          0.000         12.142          0.381          3.738          4.334          0.292          0.150              0.003              0.000              0.000          0.793         13.211         46.541                        0.175                    0.152                      0.265          4.512          0.069          4.512         13.211          0.198        640.000
      1992        38             32.704             50.132             22.555             35.948             77.317             79.310        460.868          0.568        361.869                    1.000                    1.000          alive          0.000          0.000          0.000          0.000         13.785          0.408          4.858          7.849          0.618          0.167              0.009              0.001              0.000          2.203         36.720        152.657                        0.480                    0.480                      0.771          3.929          0.308          3.929         36.720          0.546        745.000
      1992        45             28.427             49.861             22.373             31.726             74.970             78.326        581.158          1.135        739.205                    0.994                    1.000          alive          0.000          0.000          0.000          0.000         18.258          0.491          6.061         12.642          0.721          0.168              0.018              0.001              0.000          4.354         72.564        331.544                        1.137                    0.927                      0.724          3.304          0.445          3.304         72.564          1.098        850.000
      1992        52             18.678             51.617             21.930             41.280             79.068             76.276        694.494          1.885       1347.944                    1.000                    1.000          alive          0.000          0.000          0.000          0.000         26.471          0.649          7.195         17.334          0.614          0.171              0.026              0.002              0.000          6.082        101.366        654.758                        1.327                    0.801                      1.076          2.908          0.216          2.908        101.366          1.523        967.500
      1992        59             13.543             48.998             22.087             37.030             78.142             74.951        806.141          2.560       2045.345                    0.975                    1.000          alive          0.000          0.000          0.000          0.000         34.584          0.806          8.311         21.040          0.489          0.135              0.030              0.003              0.000          7.226        120.437        800.000                        1.202                    0.878                      0.993          2.722          0.376          2.722        120.437          1.808       1000.000
      1992        66              7.857             41.642             20.789             37.428             76.768             72.315        905.763          2.995       2972.101                    0.870                    1.000          alive          0.000        202.103          0.000          0.000         44.341          0.996          9.307         23.600          0.158          0.158              0.032              0.004              0.001          8.010        133.495        800.000                        0.988                    0.912                      1.617          2.556          0.423          2.556        133.495          2.011       1000.000
      1992        73              3.926             31.082             18.706             41.164             78.789             72.242       1003.256          2.933       3878.316                    0.884                    1.000          alive          0.000        725.245          0.000          0.000         51.754          1.139         10.047         24.358          0.094          0.094              0.032              0.004              0.001          8.198        136.628        800.000                        0.678                    0.678                      1.859          2.393          0.660          2.393        136.628          2.048       1000.000
      1992        80              2.392             20.050             14.268             37.409             76.644             72.952       1104.028          2.578       4614.835                    0.878                    1.000          alive          0.000       1412.140          0.000          0.000         59.399          1.288         10.110         24.421          0.000          0.000              0.031              0.005              0.001          8.292        138.204        800.000                        0.820                    0.820                      1.868          2.225          0.649          2.225        138.204          2.079       1000.000
      1992        87              1.389             10.938              8.785             38.069             77.315             71.288       1206.958          2.159       5349.426                    0.831                    1.000          alive          0.000       2139.771          0.000          0.000         63.232          1.360         10.259         24.641          0.220          0.149              0.031              0.005              0.001          8.382        139.708        800.000                        0.937                    0.937                      1.770          2.054          0.428          2.054        139.708          2.099       1000.000
      1992        91              1.330              9.029              7.609             40.026             79.943             72.164       1267.516          0.004          0.000                    0.863                    0.500          alive          0.000          0.000       3375.139         59.864         64.962          1.392          2.000          2.000          0.000          0.000              0.030              0.005              0.001          8.216        123.241          1.000                        0.000                    0.000                      0.435          0.000          0.000          0.000        123.241          1.968       1000.000
      1992        92              1.420              9.143              7.626             36.578             79.726             72.310       1283.016          0.000          0.000                    1.000                    0.000            out        123.241          0.000       3254.473         57.723        555.532         21.020          2.000          2.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          1.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000       1000.000
