Summary_file = p12-97.sum
Title = south plots
year,month,day,day_month,period,sw(1),sw(2),sw(3),sw(4),sw(5),sw(6),sw(7),sw(8),sw(9),sw(10),sw(11),sw(12),sw(13),sw(14),sw(15),sw(16),sw(17),sw(18),sw(19),sw(20),sw(21),sw(22),sw(23),sw(24),sw(25),sw(26),sw(27),sw(28),no3(1-24)(1),no3(1-24)(2),no3(1-24)(3),no3(1-24)(4),no3(1-24)(5),no3(1-24)(6),no3(1-24)(7),no3(1-24)(8),no3(1-24)(9),no3(1-24)(10),no3(1-24)(11),no3(1-24)(12),no3(1-24)(13),no3(1-24)(14),no3(1-24)(15),no3(1-24)(16),no3(1-24)(17),no3(1-24)(18),no3(1-24)(19),no3(1-24)(20),no3(1-24)(21),no3(1-24)(22),no3(1-24)(23),no3(1-24)(24),nh4(1-8)(1),nh4(1-8)(2),nh4(1-8)(3),nh4(1-8)(4),nh4(1-8)(5),nh4(1-8)(6),nh4(1-8)(7),nh4(1-8)(8),no3_025,no3_2590,nh4_025,nh4_2590,sw_dep_025,sw_dep_2590,sw_dep_90180,no3_030,no3_3080,nh4_030,nh4_3080,sw_dep_030,sw_dep_3080,rain,T,ET,swdep,es,runoff,drain,eo,h,drain_25,drain_90,drain_180,cum_rain,cum_ET,cum_E,cum_T,cdrain_25,cdrain_90,cdrain180,cum_drain,no3(),nh4(),nit_tot(),leach_no3,cleach_25,cleach_90,urea(),biom_n(),fom_n(),hum_n(),sum@soiln2_dnit[],sum@soiln2_dlt_n_min[],surfaceom_n,surfaceom_wt,surfaceom_cover,L_dlt_n_fixed,W_biomass_n,W_root_n,L_biomass_n,L_root_n,C_biomass_n,C_root_n,cum_nmin010,cum_nmin1020,cum_nmin2030,no3_010,nh4_010,fom_n_010,biom_n_010,hum_n_010,no3_sol_20,no3_sol_30,no3_sol_50,no3_sol_90,cumnetdrain130
(year),(month),(day),(day),(),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(cc/cc),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(),(),(),(),(),(),(),(),(),(),(),(),(),(mm),(),(),(mm),(mm),(mm),(mm),(mm),(mm),(),(),(),(),(),(),(),(),(),(),(),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(),(),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(m^2/m^2),(g/m^2),(g/m^2),(?),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(),(),(),(),(),(),(),(),(ppm),(ppm),(ppm),(ppm),()
1996,11,319,14,0.000000,0.063128,0.095918,0.182713,0.209402,0.225794,0.224002,0.220122,0.249610,0.260917,0.286200,0.300653,0.312018,0.325007,0.334816,0.334896,0.334766,0.334034,0.324290,0.312082,0.300559,0.301729,0.300930,0.293822,0.303217,0.308234,0.308020,0.308001,0.308000,0.009873,0.024497,0.093874,0.434955,1.177011,1.756486,1.452393,1.254851,1.758871,2.219833,1.964128,1.620859,1.633548,1.631604,1.630584,1.630005,1.628607,1.630468,1.648139,1.658983,1.248325,2.510629,4.129859,4.108132,0.000312,0.001409,0.018644,0.206652,0.378681,0.040778,0.023010,0.009308,3.496696,7.668012,0.646476,0.087216,52.639919,173.416046,291.412537,4.222893,5.959751,0.657981,0.070830,63.646011,132.344681,32.099998,0.000000,14.698709,1811.799989,15.045880,0.000000,0.139136,64.973915,0.000000,-0.001138,-1.355292,0.343790,32.100002,15.045879,15.045879,0.000000,-0.000790,-1.416838,0.000000,0.139133,53.245213,0.804744,8937.958984,0.003709,0.013728,-0.038207,0.000000,118.025307,8.165743,8757.716797,0.050384,2.227951,2.551737,382.760559,0.174182,0.000000,0.000000,?,0.000000,0.000000,0.000000,0.000000,1.359691,0.503523,0.080568,0.955536,0.353244,7.564559,82.762886,1366.142578,5.192829,6.950363,6.598133,4.494079,-333.971313
1996,11,334,29,0.000000,0.062726,0.092870,0.181815,0.209098,0.226295,0.234801,0.220786,0.249717,0.263349,0.287609,0.300305,0.309955,0.323356,0.333968,0.334521,0.334464,0.333699,0.324033,0.311623,0.299973,0.301128,0.300401,0.294561,0.303841,0.308547,0.308086,0.308009,0.308001,0.032794,0.076917,0.287507,0.883739,1.626519,1.986302,1.554038,1.317552,1.868323,2.299171,1.983653,1.628571,1.630350,1.631402,1.630440,1.630442,1.631743,1.633263,1.648794,1.657550,1.245674,2.501078,4.130833,4.115669,0.001290,0.005061,0.056240,0.272591,0.627022,0.074673,0.038184,0.016821,4.893778,8.030910,1.036877,0.116217,53.694775,174.104980,290.390472,5.670797,6.262065,1.055969,0.091858,64.734070,133.035217,19.000000,0.000000,17.900179,1812.760806,17.890047,0.000000,0.149114,84.611969,0.000000,0.052026,-0.664347,0.390690,51.100002,32.935928,32.935928,0.000000,0.054286,-2.050696,0.000000,0.288247,55.054916,1.219620,8938.342773,0.003985,0.034409,-0.051354,0.000000,118.893875,6.874837,8756.299805,0.055724,3.127869,2.107751,316.162720,0.146220,0.000000,0.000000,?,0.000000,0.000000,0.000000,0.000000,3.061864,1.351849,0.241105,1.823130,0.544189,6.455804,83.730606,1365.654297,10.566067,9.583492,7.038668,4.729647,-333.992706
1996,12,349,14,0.000000,0.068837,0.158517,0.201969,0.222891,0.237828,0.246561,0.223808,0.250277,0.264542,0.288208,0.300325,0.309073,0.322245,0.333081,0.333920,0.334046,0.333369,0.323705,0.311285,0.299625,0.300783,0.300091,0.294742,0.304439,0.308970,0.308214,0.308033,0.308007,0.073083,0.255817,0.600219,1.226682,2.519113,2.457411,1.740251,1.420534,1.999495,2.392248,2.014743,1.645991,1.630844,1.633390,1.631371,1.631884,1.635448,1.636081,1.650428,1.658071,1.245422,2.495946,4.119276,4.115464,0.001264,0.000000,0.080659,0.272502,0.842224,0.099422,0.044896,0.020702,7.132325,8.559899,1.296071,0.127209,57.377594,174.763794,289.696350,8.002451,6.682403,1.318519,0.099570,68.567970,133.540863,24.000000,0.000000,19.782572,1816.589228,20.022217,0.000000,0.149348,89.362732,0.000000,0.276916,-0.375267,0.334581,75.100006,52.958141,52.958141,0.000000,0.349234,-2.414556,0.000000,0.437596,57.881615,1.488116,8938.702148,0.004000,0.083955,-0.055384,0.000000,119.288383,5.491741,8754.551758,0.079627,4.020597,1.664709,249.706345,0.117374,0.000000,0.000000,?,0.000000,0.000000,0.000000,0.000000,5.251783,2.424228,0.467621,2.995505,0.635166,5.199747,84.480621,1365.041138,13.758764,14.122878,7.775655,5.038895,-334.071289
1996,12,364,29,0.000000,0.079465,0.186707,0.214681,0.233516,0.246473,0.251846,0.233492,0.251193,0.265160,0.288557,0.300399,0.308591,0.321467,0.332344,0.333307,0.333563,0.332999,0.323378,0.310995,0.299352,0.300518,0.299849,0.294737,0.304863,0.309447,0.308425,0.308082,0.308023,0.179474,0.677255,1.250821,1.947166,3.757264,3.236141,2.085679,1.575599,2.180871,2.519768,2.060560,1.671825,1.635302,1.637849,1.635142,1.635697,1.640155,1.640024,1.653363,1.659956,1.246841,2.493856,4.104524,4.107111,0.003742,0.000000,0.120535,0.392349,1.156503,0.155609,0.069709,0.027795,11.048120,9.392197,1.828738,0.153514,59.568710,175.993866,289.181580,12.090961,7.319077,1.863593,0.113983,71.243332,134.279312,23.000000,0.000000,19.179169,1819.616614,19.822495,0.000000,0.150075,101.756660,0.000000,0.969468,-0.249597,0.274561,98.100006,72.780632,72.780632,0.000000,1.335580,-2.658287,0.000000,0.587670,62.709759,2.044459,8938.764648,0.004029,0.235725,-0.054914,0.000000,117.710281,4.258818,8752.041992,0.152083,5.955191,1.446504,216.975616,0.102810,0.000000,0.000000,?,0.000000,0.000000,0.000000,0.000000,8.673329,3.891662,0.796347,5.307137,0.902127,4.068251,83.674591,1364.084473,20.846208,20.325490,8.932530,5.483158,-334.147980
1997,1,13,13,0.000000,0.068648,0.157359,0.201678,0.222791,0.237975,0.247690,0.240917,0.252951,0.265600,0.288793,0.300465,0.308288,0.320892,0.331742,0.332745,0.333078,0.332612,0.323051,0.310724,0.299107,0.300280,0.299629,0.294664,0.305121,0.309898,0.308719,0.308173,0.308056,0.320465,1.165123,2.278393,3.046537,4.974440,4.017777,2.483543,1.763077,2.363746,2.643793,2.106993,1.698464,1.641130,1.642954,1.639250,1.639765,1.644850,1.644084,1.656539,1.662133,1.249129,2.493672,4.089447,4.092579,0.007091,0.010290,0.150397,0.375163,1.151577,0.139336,0.064588,0.025985,15.802735,10.307655,1.833854,0.149011,57.479115,177.031891,288.779785,17.044506,8.012387,1.866148,0.111915,69.524986,134.939484,21.000000,0.000000,22.871050,1818.237703,22.227100,0.000000,0.151783,102.667831,0.000000,0.887412,-0.179260,0.228784,119.100006,95.007736,95.007736,0.000000,2.198051,-2.833847,0.000000,0.739453,68.451897,2.045099,8938.760742,0.004084,0.426964,-0.051401,0.000000,115.601433,3.177557,8749.484375,0.179205,6.266033,1.267575,190.136322,0.090689,0.000000,0.000000,?,0.000000,0.000000,0.000000,0.000000,1.510079,0.557529,0.129816,8.468665,0.926800,3.042022,82.379158,1363.071899,34.186059,27.870940,10.308691,5.933106,-334.212067
1997,1,28,28,0.000000,0.302135,0.302894,0.303668,0.306099,0.295181,0.269980,0.276080,0.293919,0.268635,0.289097,0.300546,0.308083,0.320450,0.331244,0.332245,0.332618,0.332231,0.322730,0.310462,0.298873,0.300052,0.299416,0.294563,0.305260,0.310263,0.309078,0.308317,0.308118,0.325138,0.514446,0.965897,2.852977,7.609263,6.783878,4.077967,2.561013,2.613503,2.792747,2.163411,1.729952,1.649420,1.649849,1.644843,1.645036,1.650537,1.649078,1.660622,1.665178,1.252471,2.495835,4.075435,4.074206,0.002818,0.011497,0.069930,0.368667,1.219696,0.272790,0.085011,0.034100,19.051600,13.126936,1.945398,0.175152,71.993523,185.169205,288.458954,21.090582,10.006247,1.987904,0.128163,85.797523,141.310608,33.899998,0.000000,6.339419,1840.607154,11.375380,0.000000,0.155212,100.250900,0.000000,6.379971,-0.130246,0.195620,153.000000,106.383110,106.383110,0.000000,10.208330,-2.960900,0.000000,0.894667,74.603905,2.181028,8938.566406,0.004185,2.446955,-0.045369,0.000000,112.423080,2.798722,8746.558594,0.334719,6.899851,1.123889,168.583313,0.080837,0.000000,0.000000,?,0.000000,0.000000,0.000000,0.000000,5.611145,2.108038,0.506307,7.194879,0.859477,2.699557,80.127785,1361.911865,23.301102,34.371097,14.770957,6.485890,-334.262146
1997,2,43,12,0.000000,0.067649,0.145220,0.196268,0.216844,0.229550,0.244403,0.252277,0.275316,0.277113,0.296544,0.305354,0.309124,0.320258,0.330843,0.331803,0.332195,0.331869,0.322419,0.310209,0.298645,0.299829,0.299207,0.294448,0.305317,0.310521,0.309460,0.308523,0.308222,0.503835,1.729890,3.514166,5.385141,7.437853,6.639535,4.081298,2.743637,3.038612,3.070944,2.273287,1.773268,1.660590,1.658297,1.651749,1.651448,1.657205,1.654989,1.665584,1.669068,1.256293,2.500399,4.063011,4.053632,0.030312,0.046466,0.207325,0.442616,1.361802,0.168430,0.082685,0.035666,25.210421,14.071135,2.256951,0.175095,56.046040,184.170486,288.941040,27.251068,10.893842,2.298293,0.129451,68.659912,141.021225,8.600000,0.000000,29.991478,1824.151684,24.894056,0.000000,0.161421,96.088432,0.000000,1.309488,0.587474,0.171419,161.600006,131.277161,131.277161,0.000000,9.861760,-2.308752,0.000000,1.056087,81.831718,2.491168,8938.546875,0.004362,2.553154,-0.005040,0.000000,108.994835,2.007507,8743.220703,0.167461,7.999274,0.971523,145.728409,0.070273,0.000000,0.000000,?,0.000000,0.000000,0.000000,0.000000,10.557381,3.787359,0.916955,13.612316,1.180653,1.931229,77.693779,1360.536133,62.085445,43.202595,16.177817,7.310154,-334.279572
1997,2,58,27,0.000000,0.058161,0.067177,0.138162,0.194658,0.220978,0.239722,0.246877,0.270272,0.276333,0.297560,0.306861,0.310916,0.320830,0.330707,0.331452,0.331816,0.331533,0.322124,0.309965,0.298423,0.299609,0.298999,0.294326,0.305321,0.310679,0.309821,0.308790,0.308380,0.888078,1.472425,4.558408,7.649119,9.379647,7.108696,4.387965,2.979876,3.333397,3.283553,2.367001,1.826754,1.677698,1.669145,1.660073,1.658976,1.664815,1.661765,1.671356,1.673724,1.260524,2.507355,4.052485,4.032058,0.046589,0.069704,0.106979,0.426854,1.413810,0.168512,0.088469,0.039248,31.056374,15.168292,2.232448,0.187034,52.057621,183.362976,289.467041,33.250355,11.790809,2.276683,0.138731,64.401482,140.333023,0.000000,0.000000,4.433658,1819.863860,4.116212,0.000000,0.171841,104.665161,0.000000,-0.133568,0.701542,0.154758,161.600006,135.393372,135.393372,0.000000,9.734217,-1.628781,0.000000,1.227930,88.908707,2.477101,8938.418945,0.004652,2.695976,0.037411,0.000000,105.325172,1.928504,8739.780273,0.121505,7.189065,0.971523,145.728409,0.070273,0.000000,0.000000,?,0.000000,0.000000,0.000000,0.000000,14.605167,5.446407,1.345039,17.694578,1.121396,1.863239,75.057365,1359.192749,98.238043,56.594823,17.773876,8.041974,-334.166107
1997,3,73,14,0.000000,0.065488,0.119070,0.190160,0.215112,0.232712,0.247014,0.255620,0.282103,0.290641,0.315800,0.322425,0.325435,0.337460,0.347182,0.346947,0.343627,0.334897,0.322211,0.309765,0.298212,0.299395,0.298796,0.294200,0.305287,0.310754,0.310127,0.309102,0.308602,0.403368,1.132641,2.673018,3.661188,6.966224,10.219051,8.109129,6.005346,5.536833,4.525424,2.884159,2.058251,1.778369,1.729992,1.719639,1.715447,1.689658,1.669713,1.676759,1.677979,1.264411,2.515093,4.043517,4.010373,0.041746,0.058591,0.158923,0.302674,0.990764,0.148511,0.064809,0.027488,25.055490,25.618811,1.701209,0.146036,56.080654,192.771011,303.647308,29.110054,20.122168,1.733613,0.109507,68.861649,147.747513,58.200001,0.000000,26.977436,1850.674832,27.200783,0.000000,0.188273,77.970795,0.000000,26.988718,17.405815,2.928384,219.800003,162.594177,162.594177,0.000000,36.710461,15.939440,0.000000,1.416204,94.123856,1.904644,8937.578125,0.005103,13.680091,1.010368,0.000000,102.871590,1.534744,8737.144531,1.033391,6.055442,0.774555,116.183235,0.056437,0.000000,0.000000,?,0.000000,0.000000,0.000000,0.000000,18.384033,6.653039,1.651656,10.192289,0.892189,1.473723,73.240417,1358.096436,42.549739,39.913284,31.723380,12.700264,-322.721252
