APSIM output file, version = 5.4
Title = 
  dm_green_leaf  dm_green_stem   dm_dead_leaf   dm_dead_stem           year            day   paddockstate         litter            alw  stocking_rate      acc_eaten
        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)         (year)          (day)            (?)        (kg/ha)           (kg)    (beasts/ha)        (kg/ha)
          0.000          0.000          0.000          0.000           1988            166          empty       1949.078          0.000          0.000          0.000
          0.000          0.000          0.000          0.000           1988            166          empty       1949.078          0.000          0.000          0.000
          0.000          0.000          0.000          0.000           1988            167          empty       1898.461          0.000          0.000          0.000
          0.000          0.000          0.000          0.000           1988            167          empty       1898.461          0.000          0.000          0.000
          0.000          0.000          0.000          0.000           1988            168          empty       1847.405          0.000          0.000          0.000
          0.000          0.000          0.000          0.000           1988            168          empty       1847.405          0.000          0.000          0.000
          0.000          0.000          0.000          0.000           1988            169          empty       1803.918          0.000          0.000          0.000
          0.000          0.000          0.000          0.000           1988            169          empty       1803.918          0.000          0.000          0.000
          0.000          0.000          0.000          0.000           1988            170          empty       1762.292          0.000          0.000          0.000
          0.000          0.000          0.000          0.000           1988            170          empty       1762.292          0.000          0.000          0.000
          0.000          0.000          0.000          0.000           1988            171          empty       1742.767          0.000          0.000          0.000
          0.000          0.000          0.000          0.000           1988            171          empty       1742.767          0.000          0.000          0.000
          0.000          0.000          0.000          0.000           1988            172          empty       1729.304          0.000          0.000          0.000
          0.000          0.000          0.000          0.000           1988            172          empty       1729.304          0.000          0.000          0.000
          0.000          0.000          0.000          0.000           1988            173          empty       1722.144          0.000          0.000          0.000
          0.000          0.000          0.000          0.000           1988            173          empty       1722.144          0.000          0.000          0.000
          0.000          0.000          0.000          0.000           1988            174          empty       1722.144          0.000          0.000          0.000
          0.000          0.000          0.000          0.000           1988            174          empty       1722.144          0.000          0.000          0.000
          0.000          0.000          0.000          0.000           1988            175          empty       1722.144          0.000          0.000          0.000
          0.000          0.000          0.000          0.000           1988            175          empty       1722.144          0.000          0.000          0.000
          0.360          0.192          0.000          0.000           1988            176          empty       1722.144          0.000          0.000          0.000
          0.360          0.192          0.000          0.000           1988            176          empty       1722.144          0.000          0.000          0.000
          0.468          0.264          0.000          0.000           1988            177          empty       1722.144          0.000          0.000          0.000
          0.468          0.264          0.000          0.000           1988            177          empty       1722.144          0.000          0.000          0.000
          0.585          0.342          0.000          0.000           1988            178          empty       1722.144          0.000          0.000          0.000
          0.585          0.342          0.000          0.000           1988            178          empty       1722.144          0.000          0.000          0.000
          0.737          0.443          0.000          0.000           1988            179          empty       1722.144          0.000          0.000          0.000
