Summary_file = wheat.sum
Title = test
           Date           rain       das          stage            lai        biomass          yield     root_depth             ep
             ()           (mm)       (d)             ()      (m^2/m^2)        (kg/ha)        (kg/ha)           (mm)           (mm)
     14/06/1988          0.000         0          0.000          0.000          0.000          0.000          0.000          0.000
     15/06/1988          0.000         0          0.000          0.000          0.000          0.000          0.000          0.000
     16/06/1988          0.000         0          0.000          0.000          0.000          0.000          0.000          0.000
     17/06/1988          0.000         1          1.999          0.000          0.000          0.000          0.000          0.000
     18/06/1988          0.000         2          2.000          0.000          0.000          0.000        100.000          0.000
     19/06/1988          0.000         3          2.314          0.000          0.000          0.000        102.380          0.000
     20/06/1988          0.000         4          2.459          0.000          0.000          0.000        104.850          0.000
     21/06/1988          0.000         5          2.620          0.000          0.000          0.000        107.580          0.000
     22/06/1988          0.000         6          2.757          0.000          0.000          0.000        109.910          0.000
     23/06/1988          0.000         7          2.892          0.000          0.000          0.000        112.210          0.000
     24/06/1988          0.000         8          3.000          0.024          5.520          0.000        114.690          0.000
     25/06/1988          0.000         9          4.000          0.027          7.317          0.000        130.770          0.031
     26/06/1988          0.000        10          4.042          0.030          9.268          0.000        147.210          0.030
     27/06/1988          0.000        11          4.062          0.034         11.797          0.000        164.850          0.054
     28/06/1988          0.000        12          4.079          0.039         14.699          0.000        179.730          0.061
     29/06/1988          0.000        13          4.094          0.044         17.888          0.000        192.510          0.051
     30/06/1988          0.000        14          4.108          0.050         21.675          0.000        204.810          0.078
     01/07/1988          0.000        15          4.123          0.057         25.767          0.000        218.310          0.083
     02/07/1988          0.000        16          4.140          0.062         29.122          0.000        232.890          0.046
     03/07/1988          0.000        17          4.160          0.066         31.282          0.000        250.170          0.014
     04/07/1988          1.100        18          4.179          0.070         33.749          0.000        267.210          0.029
     05/07/1988         27.400        19          4.203          0.075         36.775          0.000        287.790          0.025
     06/07/1988         39.200        20          4.223          0.083         42.278          0.000        306.030          0.084
     07/07/1988          0.000        21          4.240          0.093         48.252          0.000        320.910          0.086
     08/07/1988          0.000        22          4.258          0.104         55.210          0.000        336.330          0.104
     09/07/1988          0.000        23          4.277          0.118         63.566          0.000        352.650          0.179
     10/07/1988          0.000        24          4.298          0.129         70.751          0.000        370.650          0.129
     11/07/1988         15.600        25          4.316          0.137         75.700          0.000        386.790          0.042
     12/07/1988          0.800        26          4.336          0.148         82.103          0.000        403.950          0.066
     13/07/1988          0.000        27          4.356          0.164         92.263          0.000        421.350          0.140
     14/07/1988          0.000        28          4.376          0.183        104.216          0.000        438.030          0.185
     15/07/1988          0.000        29          4.395          0.206        118.095          0.000        454.590          0.232
     16/07/1988          0.000        30          4.414          0.229        132.925          0.000        470.670          0.246
     17/07/1988          0.000        31          4.434          0.256        150.413          0.000        488.490          0.278
     18/07/1988          0.000        32          4.452          0.289        171.163          0.000        503.130          0.337
     19/07/1988          0.000        33          4.468          0.328        195.909          0.000        517.590          0.598
     20/07/1988          0.000        34          4.489          0.368        221.067          0.000        534.990          0.567
     21/07/1988          0.000        35          4.514          0.401        242.715          0.000        556.230          0.428
     22/07/1988          8.500        36          4.535          0.431        262.135          0.000        574.230          0.128
     23/07/1988          0.000        37          4.550          0.482        294.757          0.000        587.010          0.451
     24/07/1988          0.000        38          4.564          0.538        330.414          0.000        598.530          0.529
     25/07/1988          0.000        39          4.581          0.606        373.836          0.000        612.570          0.956
     26/07/1988          0.000        40          4.603          0.685        424.391          0.000        631.050          1.261
     27/07/1988          0.000        41          4.618          0.764        475.244          0.000        643.710          0.711
     28/07/1988          0.000        42          4.634          0.859        535.980          0.000        656.790          1.306
     29/07/1988          0.000        43          4.651          0.947        592.610          0.000        670.950          0.955
