Summary_file=gmtb0e.sum
Title =greenmount b0_soilwat
           date       dlayer()      soil_loss  erosion_cover    total_cover
             ()           (mm)         (t/ha)             ()             ()
     18/09/1976       1499.999          0.009          0.042          0.042
     14/10/1976       1499.998          0.008          0.036          0.036
      1/11/1976       1444.419        555.790          0.029          0.029
     22/11/1976       1444.286          1.333          0.022          0.022
     17/01/1977       1418.078        262.080          0.019          0.019
     11/03/1977       1385.855        322.233          0.028          0.028
     12/03/1977       1385.179          6.757          0.028          0.028
     23/04/1977       1385.056          1.227          0.043          0.043
     11/05/1977       1381.818         32.379          0.050          0.050
     16/05/1977       1336.858        449.600          0.052          0.052
      4/11/1977       1335.949          9.095          0.025          0.025
      8/11/1977       1333.116         28.331          0.022          0.022
     21/11/1977       1327.112         60.040          0.020          0.020
      7/01/1978       1285.408        417.039          0.024          0.024
     21/01/1978       1284.745          6.623          0.025          0.025
     31/01/1978       1283.582         11.630          0.027          0.027
      1/02/1978       1283.300          2.822          0.028          0.028
     18/03/1978       1283.120          1.799          0.039          0.039
     29/03/1978       1282.205          9.150          0.041          0.041
      1/04/1978       1280.980         12.249          0.042          0.042
      2/04/1978       1278.750         22.301          0.043          0.043
      3/04/1978       1276.588         21.620          0.043          0.043
      3/07/1978       1264.567        120.210          0.026          0.026
     10/07/1978       1264.239          3.287          0.026          0.026
      9/08/1978       1264.198          0.406          0.026          0.026
      1/09/1978       1261.059         31.395          0.026          0.026
      6/09/1978       1261.054          0.048          0.025          0.025
      7/09/1978       1256.421         46.326          0.025          0.025
      6/11/1978       1252.688         37.332          0.023          0.023
     11/11/1978       1241.793        108.953          0.023          0.023
     18/12/1978       1241.493          3.001          0.023          0.023
     23/12/1978       1228.259        132.336          0.023          0.023
     27/12/1978       1221.346         76.041          0.023          0.023
     30/12/1978       1177.831        478.670          0.023          0.023
     19/01/1979       1171.591         68.639          0.025          0.025
      6/02/1979       1167.831         41.357          0.028          0.028
     10/02/1979       1164.436         37.344          0.030          0.030
      4/03/1979       1132.302        353.479          0.034          0.034
      5/03/1979       1130.901         15.407          0.035          0.035
     16/03/1979       1080.486        554.565          0.038          0.038
      5/05/1979       1080.339          1.623          0.053          0.053
     21/06/1979       1051.776        314.189          0.030          0.030
     30/07/1979       1051.438          3.727          0.032          0.032
     29/10/1979       1050.087         14.853          0.030          0.030
      9/11/1979       1049.996          1.000          0.028          0.028
     13/11/1979       1049.812          2.033          0.027          0.027
     17/12/1979       1049.730          0.899          0.027          0.027
     22/12/1979       1042.643         77.952          0.027          0.027
     26/01/1980       1042.240          4.438          0.031          0.031
     27/01/1980       1012.184        330.611          0.031          0.031
      5/02/1980       1012.063          1.335          0.033          0.033
      6/02/1980        869.085       1572.759          0.033          0.033
     29/05/1980        868.666          4.607          0.061          0.061
     31/07/1980        867.480         13.046          0.041          0.041
     25/10/1980        865.622         20.440          0.035          0.035
     26/10/1980        845.617        220.052          0.035          0.035
      4/12/1980        845.418          2.190          0.032          0.032
      6/12/1980        840.259         56.748          0.032          0.032
     15/12/1980        839.258         11.009          0.031          0.031
     16/12/1980        838.677          6.393          0.031          0.031
     29/12/1980        822.391        179.145          0.033          0.033
      3/01/1981        816.435         65.515          0.032          0.032
      4/02/1981        815.618          8.989          0.039          0.039
      6/02/1981        731.468        925.653          0.038          0.038
