Summary_file = output\goondiwindi_lg1_50_oc2_deep_AvgWindow.sum
Title = site=goondiwindi; soil=lg1; treatment=oc2; Nrate=50; RootDepth=deep; Sowing = AvgWindow
           date           year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()         (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)             ()        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957           1957          0.000          0.000          0.000          0.000          0.000          0.000       4414.997        199.541          2.936       2473.960       4252.621          0.000         453.500          0.283        421.726         12.197
     31/12/1958           1958       2151.054        186.595          2.782          0.000          0.000          0.000          0.000          0.000          0.000       2041.669       7034.942          0.000         662.400         11.368        477.199          0.001
     31/12/1959           1959          0.000          0.000          0.000       2646.260        201.907          2.930          0.000          0.000          0.000       4306.354       6341.073          0.000         654.400         27.708        381.058          0.000
     31/12/1960           1960       2174.112        140.532          3.372          0.000          0.000          0.000          0.000          0.000          0.000       1944.758       5598.769          0.000         450.100          0.000        402.699          0.000
     31/12/1961           1961          0.000          0.000          0.000       1108.114        141.527          1.716          0.000          3.351          0.339       2318.575       4530.610          0.000         745.300          9.143        476.289          0.000
     31/12/1962           1962       1506.893        121.750          1.032          0.000          0.000          0.000       5367.236        187.082          3.118       1798.060       4469.282          0.000         871.900         64.476        426.455         28.437
     31/12/1963           1963          0.000          0.000          0.000       2111.651        189.752          2.649          0.000          0.000          0.000       1150.128       3499.893          0.000         577.700         11.363        440.543         34.028
     31/12/1964           1964       3798.771        208.089          4.635          0.000          0.000          0.000          0.000          0.000          0.000       1006.044       6371.433          0.000         650.500          3.034        476.601          0.000
     31/12/1965           1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.158          0.087       3463.553       4677.712          0.000         402.800          0.266        326.030          0.000
     31/12/1966           1966          0.000          0.000          0.000          0.000          0.000          0.000       1603.220        183.430          2.621       1120.752       3871.218          0.000         572.500          5.973        430.151          0.000
     31/12/1967           1967       1108.224         82.564          2.390          0.000          0.000          0.000       1821.169         62.605          2.495       1470.665       3693.585          0.000         385.700          4.644        299.755          0.000
     31/12/1968           1968          0.000          0.000          0.000        829.820         85.938          1.810          0.000          0.000          0.000        702.226       2119.281          0.000         561.600          3.077        427.142          0.000
     31/12/1969           1969       2522.063        147.231          3.414          0.000          0.000          0.000          0.000         56.149          2.643        961.307       5466.849          0.000         621.900         13.915        367.657          0.000
     31/12/1970           1970          0.000          0.000          0.000          0.000          0.000          0.000       3738.517        215.933          3.002       2669.710       5113.945          0.000         743.300         15.896        394.348          0.000
     31/12/1971           1971       1682.394        173.656          2.107          0.000          0.000          0.000       5255.937        135.237          2.930       2425.641       5279.539          0.000         668.800         17.022        415.157          0.000
     31/12/1972           1972          0.000          0.000          0.000          0.000          0.000          0.000         49.660        108.875          2.866       1487.333       3619.157          0.000         501.100          0.781        428.264          0.000
     31/12/1973           1973       2683.853        171.736          3.084          0.000          0.000          0.000       4009.402         82.174          2.661       1704.958       5081.235          0.000         727.500          1.618        485.566          0.000
     31/12/1974           1974          0.000          0.000          0.000          0.000          0.000          0.000          0.000         41.289          2.268       1480.073       3371.457          0.000         509.100         16.405        426.599          0.000
     31/12/1975           1975       2984.071        149.153          2.941          0.000          0.000          0.000       2290.879        100.826          2.709       1203.608       4630.983          0.000         692.900          6.567        428.621          0.000
     31/12/1976           1976          0.000          0.000          0.000       2945.791        218.220          3.163          0.000          0.000          0.000       1184.392       4115.624          0.000         817.500         63.505        485.779         82.302
     31/12/1977           1977       2902.184        183.203          3.808          0.000          0.000          0.000          0.000          0.000          0.000       1129.106       5802.459          0.000         614.500         10.651        470.798          0.000
     31/12/1978           1978          0.000          0.000          0.000       2703.938        200.796          3.206          0.000          0.000          0.000       1660.586       4248.638          0.000         799.100          7.794        492.582          0.000
     31/12/1979           1979       2895.469        161.917          2.813          0.000          0.000          0.000          0.000          0.000          0.000        732.865       4584.291          0.000         488.600          1.973        387.536          0.000
     31/12/1980           1980          0.000          0.000          0.000        715.592         87.565          1.422          0.000          0.000          0.000       1895.245       3035.728          0.000         387.700          0.000        339.293          0.000
     31/12/1981           1981       2805.952        159.440          4.573          0.000          0.000          0.000          0.000          0.000          0.000       1031.249       6045.116          0.000         664.100         29.659        426.125          0.000
     31/12/1982           1982          0.000          0.000          0.000       2174.529        202.157          2.951          0.000          0.000          0.000       1887.340       4067.828          0.000         518.300          2.423        367.771          0.000
     31/12/1983           1983       3237.314        198.948          3.410          0.000          0.000          0.000          0.000         36.116          2.050       1127.620       7193.368          0.000        1019.100         86.630        521.519         11.265
     31/12/1984           1984          0.000          0.000          0.000       2136.888        221.991          2.887       5013.451        153.799          3.013       2650.673       5297.714          0.000         798.300         21.000        426.821         88.369
     31/12/1985           1985       2412.681        136.655          2.975          0.000          0.000          0.000          0.000          0.000          0.000       1311.486       4722.343          0.000         568.000         16.629        442.864          0.000
     31/12/1986           1986          0.000          0.000          0.000       1067.341        112.517          1.765          0.000          0.000          0.000       1060.419       2666.403          0.000         531.400          0.164        448.594          0.000
     31/12/1987           1987          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        147.688       1340.532          0.000         598.600          3.942        495.183          0.000
