APSIM output file, version = 5.4
Title = Roma 400mm wet soil
            day           year            lai        biomass          yield         sum_ep
          (day)         (year)      (m^2/m^2)        (kg/ha)        (kg/ha)           (mm)
            292           1957          0.000       3194.446        795.130         87.608
            286           1958          0.000       5337.071       1727.841        142.112
            287           1959          0.000       3305.791        886.632         88.612
            291           1960          0.000       3726.899        905.753         92.870
            290           1961          0.000       4631.695       1324.663        117.332
            288           1962          0.000       3363.548        870.789         90.341
            288           1963          0.000       3856.449       1089.053         96.237
            287           1964          0.000       4460.303       1764.718        122.244
            287           1965          0.000       4085.025       1503.096         97.403
            288           1966          0.000       7078.721       3254.271        145.439
            289           1967          0.000       5142.542       1495.724        120.814
            290           1968          0.000       5932.842       1812.219        129.693
            287           1969          0.000       4409.345       1270.289        107.742
            269           1970          0.000       1836.040        486.106         56.487
            288           1971          0.000       5502.575       2218.118        145.938
            289           1972          0.000       1601.028        465.941         54.804
            282           1973          0.000      13271.583       6188.917        270.362
            289           1974          0.000       5388.639       2096.590        123.785
            286           1975          0.000       6434.303       2621.066        145.162
            288           1976          0.000       3295.042       1451.984         84.700
            292           1977          0.000       3828.495       1013.816        110.065
            290           1978          0.000      12611.238       5716.943        248.530
            288           1979          0.000       1713.450        440.982         50.712
            290           1980          0.000       4743.944       1264.789        117.659
            289           1981          0.000       6871.810       2444.591        157.841
            275           1982          0.000       1806.889        441.660         51.408
            289           1983          0.000       7859.922       2766.024        163.339
            288           1984          0.000       9815.279       4139.951        207.194
            287           1985          0.000       6542.870       2019.105        154.553
            287           1986          0.000       5391.547       2020.569        124.101
            288           1987          0.000       3188.490        853.987         77.396
            289           1988          0.000       4376.211       1432.814        109.661
            293           1989          0.000       4768.845       1228.704        108.553
            290           1990          0.000       4660.814       1472.034        112.444
            289           1991          0.000       4682.214       1298.407        135.599
            290           1992          0.000       3452.147       1031.770         90.509
            286           1993          0.000       4998.301       1813.876        115.989
            284           1994          0.000       1748.364        421.496         52.674
            291           1995          0.000       2680.524        787.587         74.820
            290           1996          0.000       3607.031       1339.186         79.878
            291           1997          0.000       2821.872        796.657         80.709
            286           1998          0.000      11586.338       5485.311        232.430
            290           1999          0.000       3636.778       1082.683         99.728
            293           2000          0.000       3327.678        846.403         90.906
            287           2001          0.000       3901.655       1047.044        102.929
            292           2002          0.000       2322.034        611.203         68.670
