APSIM output file, version = 5.4
Title = sysbal Sample Simulation
            day           year        biomass          no3()          nh4()       biom_n()        fom_n()         runoff             ep          drain             es           pond       sw_dep()  n_loss_system  n_gain_system   n_dlt_system  n_dlt_surface     n_dlt_crop     n_dlt_soil n_error_system n_cum_error_system n_state_system n_state_surface   n_state_crop   n_state_soil  p_loss_system  p_gain_system   p_dlt_system  p_dlt_surface     p_dlt_crop     p_dlt_soil p_error_system p_cum_error_system p_state_system p_state_surface   p_state_crop   p_state_soil  c_loss_system  c_gain_system   c_dlt_system  c_dlt_surface     c_dlt_crop     c_dlt_soil c_error_system c_cum_error_system c_state_system c_state_surface   c_state_crop   c_state_soil dm_loss_system dm_gain_system  dm_dlt_system dm_dlt_surface    dm_dlt_crop    dm_dlt_soil dm_error_system dm_cum_error_system dm_state_system dm_state_surface  dm_state_crop  dm_state_soil sw_loss_system sw_gain_system  sw_dlt_system sw_dlt_surface    sw_dlt_crop    sw_dlt_soil sw_error_system sw_cum_error_system sw_state_system sw_state_surface  sw_state_crop  sw_state_soil
          (day)         (year)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)           (mm)            (?)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (kg/ha)        (kg/ha)         (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (kg/ha)        (kg/ha)         (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (kg/ha)        (kg/ha)         (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)         (kg/ha)             (kg/ha)         (kg/ha)          (kg/ha)        (kg/ha)        (kg/ha)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)            (mm)                (mm)            (mm)             (mm)           (mm)           (mm)
            166           1988          0.000         82.363          7.727        116.842         19.763          0.000              ?          0.000          0.166          0.000        720.433          0.000          0.000      10548.964         25.988          0.000      10522.977          0.000              0.000      10548.964          25.988          0.000      10522.977          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000          0.000           0.000          0.000          0.000         16.271          0.000     151405.719        779.631          0.000     150626.094          0.000              0.000     151405.719         779.631          0.000     150626.094         40.679          0.000     378514.281       1949.078          0.000     376565.219           0.000               0.000      378514.281         1949.078          0.000     376565.219          0.166          0.000        720.433          0.000          0.000        720.433           0.000               0.000         720.433            0.000          0.000        720.433
            167           1988          0.000         83.171          6.769        117.945         19.481          0.000              ?          0.000          0.165          0.000        720.268          0.000          0.000          0.001         -0.675          0.000          0.676          0.001              0.001      10548.965          25.313          0.000      10523.652          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000          0.000           0.000          0.000          0.000         17.014          0.000        -17.016        -20.247          0.000          3.219         -0.001             -0.001     151388.703         759.385          0.000     150629.312         42.536          0.000        -42.531        -50.617          0.000          8.062           0.005               0.005      378471.750         1898.461          0.000     376573.281          0.165          0.000         -0.165          0.000          0.000         -0.165           0.000               0.000         720.268            0.000          0.000        720.268
            168           1988          0.000         83.840          5.978        119.076         19.161          0.000              ?          0.000          0.164          0.000        720.105          0.000          0.000         -0.001         -0.681          0.000          0.680         -0.001              0.000      10548.964          24.632          0.000      10524.332          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000          0.000           0.000          0.000          0.000         17.870          0.000        -17.859        -20.423          0.000          2.562          0.011              0.009     151370.844         738.962          0.000     150631.875         44.675          0.000        -44.656        -51.056          0.000          6.406           0.019               0.023      378427.094         1847.405          0.000     376579.688          0.164          0.000         -0.164          0.000          0.000         -0.164          -0.000               0.000         720.105            0.000          0.000        720.105
            169           1988          0.000         84.499          5.275        120.091         18.794          0.000              ?          0.000          0.162          0.000        719.943          0.000          0.000          0.001         -0.580          0.000          0.580          0.001              0.001      10548.965          24.052          0.000      10524.912          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000          0.000           0.000          0.000          0.000         16.970          0.000        -17.000        -17.395          0.000          0.406         -0.030             -0.020     151353.844         721.567          0.000     150632.281         42.426          0.000        -42.500        -43.486          0.000          1.000          -0.074              -0.051      378384.594         1803.918          0.000     376580.688          0.162          0.000         -0.162          0.000          0.000         -0.162          -0.000               0.000         719.943            0.000          0.000        719.943
            170           1988          0.000         85.146          4.639        121.095         18.373          0.000              ?          0.000          0.161          0.000        719.782          0.000          0.000          0.001         -0.555          0.000          0.557          0.001              0.002      10548.966          23.497          0.000      10525.469          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000          0.000           0.000          0.000          0.000         17.609          0.000        -17.578        -16.651          0.000         -0.938          0.031              0.011     151336.266         704.917          0.000     150631.344         44.023          0.000        -43.969        -41.627          0.000         -2.344           0.054               0.003      378340.625         1762.292          0.000     376578.344          0.161          0.000         -0.161          0.000          0.000         -0.161          -0.000               0.000         719.782            0.000          0.000        719.782
            171           1988          0.000         85.844          4.094        121.692         17.950          0.000              ?          0.000          0.160          0.000        719.622          0.000          0.000          0.000         -0.260          0.000          0.260          0.000              0.002      10548.966          23.237          0.000      10525.729          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000          0.000           0.000          0.000          0.000         12.458          0.000        -12.469         -7.810          0.000         -4.656         -0.011             -0.000     151323.797         697.107          0.000     150626.688         31.145          0.000        -31.125        -19.525          0.000        -11.625           0.020               0.023      378309.500         1742.767          0.000     376566.719          0.160          0.000         -0.160          0.000          0.000         -0.160           0.000               0.000         719.622            0.000          0.000        719.622
            172           1988          0.000         86.482          3.640        122.161         17.549          0.000              ?          0.000          0.158          0.000        719.464          0.000          0.000         -0.001         -0.180          0.000          0.179         -0.001              0.001      10548.965          23.057          0.000      10525.907          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000          0.000           0.000          0.000          0.000         10.714          0.000        -10.719         -5.385          0.000         -5.328         -0.005             -0.005     151313.078         691.722          0.000     150621.359         26.785          0.000        -26.781        -13.463          0.000        -13.312           0.003               0.027      378282.719         1729.304          0.000     376553.406          0.158          0.000         -0.158          0.000          0.000         -0.158           0.000               0.000         719.464            0.000          0.000        719.464
            173           1988          0.000         87.070          3.283        122.509         17.151          0.000              ?          0.000          0.157          0.000        719.307          0.000          0.000         -0.001         -0.095          0.000          0.095         -0.001              0.000      10548.964          22.962          0.000      10526.002          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000          0.000           0.000          0.000          0.000          9.260          0.000         -9.266         -2.864          0.000         -6.406         -0.006             -0.010     151303.812         688.858          0.000     150614.953         23.150          0.000        -23.188         -7.160          0.000        -16.031          -0.037              -0.011      378259.531         1722.144          0.000     376537.375          0.157          0.000         -0.157          0.000          0.000         -0.157          -0.000               0.000         719.307            0.000          0.000        719.307
            174           1988          0.000         87.600          3.019        122.710         16.775          0.000              ?          0.000          0.156          0.000        719.151          0.000          0.000          0.002          0.000          0.000          0.002          0.002              0.002      10548.966          22.962          0.000      10526.004          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000          0.000           0.000          0.000          0.000          7.243          0.000         -7.250          0.000          0.000         -7.250         -0.007             -0.017     151296.562         688.858          0.000     150607.703         18.108          0.000        -18.125          0.000          0.000        -18.125          -0.017              -0.027      378241.406         1722.144          0.000     376519.250          0.156          0.000         -0.156          0.000          0.000         -0.156           0.000               0.000         719.151            0.000          0.000        719.151
            175           1988          0.000         88.079          2.800        122.894         16.420          0.000              ?          0.000          0.155          0.000        718.996          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.002      10548.966          22.962          0.000      10526.004          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000          0.000           0.000          0.000          0.000          6.923          0.000         -6.906          0.000          0.000         -6.906          0.017             -0.001     151289.656         688.858          0.000     150600.797         17.307          0.000        -17.250          0.000          0.000        -17.250           0.057               0.030      378224.156         1722.144          0.000     376502.000          0.155          0.000         -0.155          0.000          0.000         -0.155          -0.000               0.000         718.996            0.000          0.000        718.996
