Summary_file = p12-97.sum
Title = south plots
      year     month       day day_month           W_rlv(1)           W_rlv(2)           W_rlv(3)           W_rlv(4)           W_rlv(5)           W_rlv(6)           W_rlv(7)           W_rlv(8)           W_rlv(9)          W_rlv(10)          W_rlv(11)          W_rlv(12)          W_rlv(13)          W_rlv(14)          W_rlv(15)          W_rlv(16)   W_root_depth      W_root_wt       W_root_n           C_rlv(1)           C_rlv(2)           C_rlv(3)           C_rlv(4)           C_rlv(5)           C_rlv(6)           C_rlv(7)           C_rlv(8)           C_rlv(9)          C_rlv(10)          C_rlv(11)          C_rlv(12)          C_rlv(13)          C_rlv(14)          C_rlv(15)          C_rlv(16)   C_root_depth      C_root_wt       C_root_n           L_rlv(1)           L_rlv(2)           L_rlv(3)           L_rlv(4)           L_rlv(5)           L_rlv(6)           L_rlv(7)           L_rlv(8)           L_rlv(9)          L_rlv(10)          L_rlv(11)          L_rlv(12)          L_rlv(13)          L_rlv(14)          L_rlv(15)          L_rlv(16)          L_rlv(17)          L_rlv(18)          L_rlv(19)          L_rlv(20)          L_rlv(21)          L_rlv(22)          L_rlv(23)          L_rlv(24)          L_rlv(25)          L_rlv(26)          L_rlv(27)          L_rlv(28)   L_root_depth      L_root_wt       L_root_n
    (year)   (month)     (day)     (day)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)           (mm)        (g/m^2)            (?)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)           (mm)        (g/m^2)        (g/m^2)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)          (mm/mm^3)           (mm)        (g/m^2)        (g/m^2)
      1997         5       150        30              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000              ?              0.008              0.008              0.008              0.008              0.005              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000        300.737         26.193          0.261              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000
      1997         6       170        19              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000              ?              0.008              0.008              0.009              0.009              0.006              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000        671.438         29.753          0.290              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000
      1997         8       221         9              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000              ?              0.009              0.011              0.016              0.016              0.011              0.003              0.003              0.003              0.003              0.003              0.003              0.001              0.000              0.000              0.000              0.000       1200.000        117.068          1.112              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000
      1997         9       250         7              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000              ?              0.016              0.029              0.070              0.071              0.027              0.007              0.007              0.007              0.007              0.007              0.006              0.003              0.000              0.000              0.000              0.000       1200.000        324.977          2.470              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000
      1997         9       267        24              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000              ?              0.017              0.041              0.082              0.084              0.038              0.008              0.008              0.008              0.007              0.007              0.007              0.004              0.000              0.000              0.000              0.000       1200.000        380.843          2.398              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000
      1997        11       310         6              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000              ?              0.014              0.034              0.069              0.070              0.036              0.007              0.007              0.007              0.007              0.006              0.006              0.003              0.000              0.000              0.000              0.000       1200.000        330.634          1.961              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000
      1998         6       159         8              0.001              0.001              0.001              0.001              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000        119.100          0.935              ?              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000
      1998         7       189         8              0.002              0.002              0.002              0.002              0.002              0.001              0.001              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000        397.800          5.116              ?              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000
      1998         9       252         9              0.043              0.050              0.050              0.050              0.038              0.018              0.012              0.010              0.007              0.005              0.002              0.000              0.000              0.000              0.000              0.000       1082.490        124.373              ?              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000
      1998        10       274         1              0.060              0.069              0.071              0.071              0.060              0.037              0.022              0.013              0.009              0.006              0.003              0.001              0.000              0.000              0.000              0.000       1200.000        191.542              ?              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000
