Summary_file = step3.sum
Title = Step 3. Declining dead pool.
           date       sw_dep()          sw_dep(1)          sw_dep(2)          sw_dep(3)          sw_dep(4)     basal_area     root_depth       sw_index  transpiration vpd_estimation  max_n_avail()   growth_photo    death_frost     residue_wt  transpiration
             ()           (mm)               (mm)               (mm)               (mm)               (mm)       (m^2/ha)           (mm)             ()             ()             ()             ()        (kg/ha)        (kg/ha)        (kg/ha)             ()
     01/01/1957        283.977             17.977             76.000             95.000             95.000          0.000        750.000          1.000          0.000         28.960         15.000          0.000          0.000         50.000          0.000
     02/01/1957        283.151             17.151             76.000             95.000             95.000          0.000        750.000          1.000          0.000         18.960         15.000          0.000          0.000         97.878          0.000
     03/01/1957        282.449             16.449             76.000             95.000             95.000          0.000        750.000          1.000          0.000         21.230         15.000          0.000          0.000        143.965          0.000
     04/01/1957        281.836             15.836             76.000             95.000             95.000          0.000        750.000          1.000          0.000         22.920         15.000          0.000          0.000        188.565          0.000
     05/01/1957        281.291             15.291             76.000             95.000             95.000          0.000        750.000          1.000          0.000         22.920         15.000          0.000          0.000        231.959          0.000
     06/01/1957        280.799             14.799             76.000             95.000             95.000          0.000        750.000          1.000          0.000         19.070         15.000          0.000          0.000        274.411          0.000
     07/01/1957        280.327             14.351             75.976             95.000             95.000          0.000        750.000          1.000          0.000         18.120         15.000          0.000          0.000        316.168          0.000
     08/01/1957        279.872             13.939             75.933             95.000             95.000          0.000        750.000          1.000          0.000         17.000         15.000          0.000          0.000        357.464          0.000
     09/01/1957        279.433             13.559             75.874             95.000             95.000          0.000        750.000          1.000          0.000         11.090         15.000          0.000          0.000        398.526          0.000
     10/01/1957        303.147             19.113             81.600            103.000             99.433          0.000        750.000          1.000          0.000          7.180         15.000          0.000          0.000        439.571          0.000
     11/01/1957        304.285             19.110             81.325            102.993            100.857          0.000        750.000          1.000          0.000         19.610         15.000          0.000          0.000        469.543          0.000
     12/01/1957        302.111             18.050             80.365            102.273            101.423          0.000        750.000          1.000          0.000         18.180         15.000          0.000          0.000        498.079          0.000
     13/01/1957        300.137             17.199             79.991            101.495            101.452          0.000        750.000          1.000          0.000         19.610         15.000          0.000          0.000        526.526          0.000
     14/01/1957        298.553             16.581             79.845            100.897            101.230          0.000        750.000          1.000          0.000         23.640         15.000          0.000          0.000        555.040          0.000
     15/01/1957        297.215             16.031             79.693            100.538            100.953          0.000        750.000          1.000          0.000         24.260         15.000          0.000          0.000        583.566          0.000
     16/01/1957        296.096             15.535             79.536            100.323            100.701          0.000        750.000          1.000          0.000         26.680         15.000          0.000          0.000        612.235          0.000
     17/01/1957        295.152             15.083             79.378            100.194            100.498          0.000        750.000          1.000          0.000         14.280         15.000          0.000          0.000        641.177          0.000
     18/01/1957        294.346             14.667             79.217            100.116            100.345          0.000        750.000          1.000          0.000         14.060         15.000          0.000          0.000        670.518          0.000
