Summary_file = grasp.sum
Title = Grass growth.
           year            day      sw_dep(1)      sw_dep(2)      sw_dep(3)      sw_dep(4)      sw_dep(5)      sw_dep(6)      sw_dep(7)            eos             es  soilwat_cover     green_pool      dead_pool  growth_transp   growth_photo growth_regrowth         growth          death        n_index      rad_index       sw_index     temp_index   growth_index     basal_area      cover_tot   surfaceom_wt surfaceom_cover
         (year)          (day)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)             ()        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)         (kg/ha)        (kg/ha)        (kg/ha)             ()             ()             ()             ()             ()       (m^2/ha)             ()        (kg/ha)       (m^2/m^2)
           1988             23         67.466         70.395        139.498        133.686        126.498        123.131        123.033          5.014          1.174          0.151         30.278          0.662          0.750          4.953           1.352          1.352          0.058          1.000          0.901          1.000          1.000          0.901          0.500          0.021        669.462           0.125
           1988             24         67.455         69.157        138.801        134.107        126.822        123.269        123.080          6.343          0.851          0.144         31.628          0.721          0.619          6.295           1.410          1.410          0.061          1.000          0.940          1.000          1.000          0.940          0.500          0.022        642.090           0.121
           1988             25         67.458         68.307        138.048        134.293        127.118        123.439        123.152          5.753          0.702          0.140         32.958          0.783          0.779          6.172           1.393          1.393          0.063          1.000          0.929          1.000          1.000          0.929          0.500          0.023        633.310           0.119
           1988             26         67.253         67.871        137.341        134.311        127.359        123.623        123.246          5.544          0.612          0.139         34.274          0.847          0.931          6.407           1.381          1.381          0.066          1.000          0.930          1.000          0.990          0.921          0.500          0.024        633.310           0.119
           1988             27         66.978         67.570        136.767        134.213        127.532        123.805        123.358          5.489          0.549          0.140         35.306          0.914          0.827          5.412           1.101          1.101          0.069          1.000          0.935          1.000          0.785          0.734          0.500          0.024        633.310           0.119
           1988             28         66.720         67.315        136.298        134.042        127.636        123.971        123.480          5.136          0.503          0.140         36.435          0.983          0.805          5.701           1.200          1.200          0.071          1.000          0.919          1.000          0.870          0.800          0.500          0.025        633.310           0.119
           1988             29         66.482         67.089        135.905        133.831        127.677        124.112        123.607          5.143          0.467          0.141         37.734          1.054          1.073          6.614           1.372          1.372          0.073          1.000          0.915          1.000          1.000          0.915          0.500          0.026        633.310           0.119
           1988             30         66.259         66.883        135.567        133.597        127.663        124.222        123.730          5.630          0.437          0.142         39.057          1.127          0.776          7.485           1.399          1.399          0.075          1.000          0.932          1.000          1.000          0.932          0.500          0.027        633.310           0.119
           1988             31         67.658         68.101        135.411        133.358        127.604        124.299        123.844          4.696          4.696          0.143         40.308          1.203          0.738          6.234           1.328          1.328          0.078          1.000          0.886          1.000          1.000          0.886          0.500          0.028        573.393           0.108
           1988             32         67.251         67.777        135.278        133.139        127.514        124.342        123.943          5.495          0.627          0.133         41.607          1.281          0.889          7.479           1.380          1.380          0.081          1.000          0.920          1.000          1.000          0.920          0.500          0.029        534.050           0.101
           1988             33         66.924         67.445        135.172        132.943        127.402        124.354        124.025          5.140          0.561          0.127         42.885          1.362          1.094          7.287           1.361          1.361          0.083          1.000          0.908          1.000          1.000          0.908          0.500          0.029        510.393           0.097
           1988             34         66.632         67.147        135.098        132.772        127.278        124.339        124.088          3.994          0.711          0.124         44.056          1.445          1.100          5.969           1.257          1.257          0.086          1.000          0.855          1.000          0.980          0.838          0.500          0.030        496.944           0.095
           1988             35         66.343         66.853        135.023        132.620        127.149        124.301        124.131          5.398          0.473          0.122         45.167          1.530          1.110          7.381           1.199          1.199          0.088          1.000          0.929          1.000          0.860          0.799          0.500          0.031        496.539           0.095
           1988             36         66.063         66.630        134.897        132.484        127.019        124.245        124.153          5.794          0.443          0.123         46.366          1.617          0.988          8.522           1.290          1.290          0.090          1.000          0.940          1.000          0.915          0.860          0.500          0.032        496.539           0.095
           1988             37         65.822         66.444        134.722        132.372        126.893        124.174        124.158          5.734          0.417          0.123         47.674          1.707          0.868          9.226           1.400          1.400          0.093          1.000          0.933          1.000          1.000          0.933          0.500          0.033        496.539           0.095
           1988             38         65.644         66.304        134.541        132.289        126.774        124.094        124.145          3.113          0.796          0.124         49.688          1.799          2.110          5.079           1.112          2.110          0.095          1.000          0.785          1.000          0.945          0.742          0.500          0.034        496.539           0.095
           1988             39         69.438         74.804        143.118        133.852        126.992        124.074        124.131          4.026          4.015          0.125         50.793          1.895          1.204          4.453           0.764          1.204          0.099          1.000          0.878          1.000          0.580          0.509          0.500          0.035        450.497           0.086
           1988             40         67.436         72.925        142.445        134.968        127.390        124.137        124.132          5.442          2.485          0.118         51.858          1.992          1.166          7.089           0.969          1.166          0.102          1.000          0.937          1.000          0.690          0.646          0.500          0.035        419.473           0.080
           1988             41         67.432         70.943        141.540        135.679        127.851        124.280        124.162          5.655          1.036          0.113         52.963          2.092          1.085          9.047           1.209          1.209          0.104          1.000          0.937          1.000          0.860          0.806          0.500          0.036        401.807           0.077
           1988             42         67.433         69.595        140.500        136.040        128.292        124.482        124.226          5.505          0.795          0.111         54.249          2.194          1.086         10.182           1.391          1.391          0.106          1.000          0.928          1.000          1.000          0.928          0.500          0.037        395.348           0.076
           1988             43         67.427         68.635        139.445        136.117        128.661        124.718        124.324          5.866          0.670          0.110         55.538          2.298          1.106         10.673           1.398          1.398          0.108          1.000          0.932          1.000          1.000          0.932          0.500          0.038        395.349           0.076
           1988             44         69.374         74.797        149.347        139.243        129.580        125.090        124.477          4.122          4.073          0.111         56.717          2.404          1.155          7.994           1.290          1.290          0.111          1.000          0.860          1.000          1.000          0.860          0.500          0.039        357.945           0.069
           1988             45         69.337         74.795        149.345        147.586        134.497        126.372        124.856          4.181          4.109          0.105         57.885          2.513          1.269          8.261           1.282          1.282          0.113          1.000          0.868          1.000          0.985          0.854          0.500          0.040        324.080           0.063
           1988             46         67.437         73.443        147.519        146.970        135.795        127.656        125.416          4.743          4.743          0.100         59.329          2.624          1.560          7.980           1.081          1.560          0.116          1.000          0.907          1.000          0.795          0.721          0.500          0.041        296.092           0.058
           1988             47         67.433         71.135        145.684        146.109        136.661        128.857        126.105          4.885          1.259          0.096         60.730          2.737          1.519          8.217           1.062          1.519          0.119          1.000          0.913          1.000          0.775          0.708          0.500          0.041        277.363           0.054
           1988             48         67.433         69.665        143.846        145.053        137.143        129.915        126.867          4.782          0.880          0.093         62.248          2.853          1.639          7.875           1.004          1.639          0.121          1.000          0.911          1.000          0.735          0.669          0.500          0.043        266.093           0.052
           1988             49         67.441         68.644        142.158        143.871        137.292        130.790        127.651          4.150          1.118          0.092         63.389          2.972          1.266          6.944           0.960          1.266          0.124          1.000          0.877          1.000          0.730          0.640          0.500          0.043        260.000           0.051
           1988             50         67.352         68.446        140.158        142.623        137.162        131.464        128.414          5.331          0.622          0.092         64.666          3.093          1.403         10.826           1.250          1.403          0.127          1.000          0.926          1.000          0.900          0.833          0.500          0.044        260.001           0.051
           1988             51         67.241         68.114        138.750        141.302        136.794        131.930        129.117          5.873          0.557          0.093         65.941          3.216          1.162         12.976           1.404          1.404          0.129          1.000          0.936          1.000          1.000          0.936          0.500          0.045        260.001           0.051
           1988             52         67.069         67.808        137.737        140.022        136.244        132.193        129.732          5.110          0.509          0.093         67.377          3.341          1.568         11.693           1.368          1.568          0.132          1.000          0.912          1.000          1.000          0.912          0.500          0.046        260.001           0.051
           1988             53         66.855         67.523        136.976        138.835        135.566        132.268        130.239          5.206          0.471          0.094         68.733          3.470          1.491         12.298           1.377          1.491          0.135          1.000          0.918          1.000          1.000          0.918          0.500          0.047        260.001           0.051
           1988             54         66.618         67.255        136.377        137.762        134.810        132.176        130.627          5.608          0.441          0.095         70.048          3.600          1.452         13.355           1.396          1.452          0.137          1.000          0.931          1.000          1.000          0.931          0.500          0.048        260.002           0.051
           1988             55         66.386         67.018        135.902        136.809        134.014        131.944        130.890          5.203          0.416          0.096         71.264          3.733          1.357         12.361           1.325          1.357          0.140          1.000          0.920          1.000          0.960          0.883          0.500          0.049        260.002           0.051
           1988             56         66.198         66.838        135.546        135.979        133.209        131.597        131.031          2.986          0.394          0.097         72.630          3.868          1.509          7.350           1.114          1.509          0.143          1.000          0.770          1.000          0.965          0.743          0.500          0.049        260.002           0.051
           1988             57         66.040         66.688        135.268        135.262        132.422        131.162        131.057          2.017          0.776          0.098         74.283          4.006          1.798          4.587           0.816          1.798          0.145          1.000          0.640          1.000          0.850          0.544          0.500          0.051        260.002           0.051
           1988             58         65.856         66.535        135.012        134.638        131.668        130.663        130.978          3.454          2.360          0.099         75.537          4.146          1.403          9.015           1.217          1.403          0.149          1.000          0.812          1.000          1.000          0.812          0.500          0.051        260.003           0.051
           1988             59         65.698         66.375        134.778        134.095        130.957        130.122        130.807          3.869          0.346          0.099         77.344          4.289          1.958         10.272           1.269          1.958          0.151          1.000          0.846          1.000          1.000          0.846          0.500          0.053        260.003           0.051
           1988             60         71.506         68.599        134.971        133.669        130.300        129.557        130.557          1.628          1.628          0.101         80.304          4.435          3.115          3.661           0.659          3.115          0.155          1.000          0.571          1.000          0.770          0.440          0.500          0.055        235.405           0.046
           1988             61         70.985         74.804        141.006        134.534        129.949        129.036        130.253          2.469          2.469          0.098         81.789          4.587          1.646          5.257           0.761          1.646          0.161          1.000          0.724          1.000          0.700          0.507          0.500          0.056        213.134           0.042
           1988             62         71.462         74.812        142.198        135.465        129.854        128.599        129.922          2.000          2.000          0.095         84.325          4.741          2.699          4.476           0.701          2.699          0.164          1.000          0.649          1.000          0.720          0.468          0.500          0.057        192.971           0.038
           1988             63         69.336         74.769        144.130        136.594        130.006        128.281        129.594          4.139          4.083          0.093         86.205          4.900          2.049         12.287           1.286          2.049          0.169          1.000          0.870          1.000          0.985          0.857          0.500          0.058        174.715           0.034
           1988             64         67.405         72.835        143.215        137.313        130.272        128.079        129.291          4.730          2.418          0.091         87.889          5.063          1.856         14.241           1.347          1.856          0.172          1.000          0.898          1.000          1.000          0.898          0.500          0.060        162.095           0.032
           1988             65         67.421         70.817        142.141        137.675        130.557        127.975        129.028          3.851          1.435          0.090         89.555          5.229          1.842         12.021           1.273          1.842          0.176          1.000          0.849          1.000          1.000          0.849          0.500          0.061        153.033           0.030
           1988             66         69.507         74.769        147.888        139.113        131.072        127.994        128.821          3.912          3.912          0.089         91.154          5.397          1.778         10.717           1.080          1.778          0.179          1.000          0.862          1.000          0.835          0.720          0.500          0.062        138.565           0.027
           1988             67         67.402         72.604        146.224        139.931        131.649        128.125        128.682          4.624          2.810          0.087         93.084          5.569          2.113         11.961           1.040          2.113          0.182          1.000          0.907          1.000          0.765          0.694          0.500          0.063        128.499           0.025
           1988             68         67.403         70.684        144.483        140.236        132.171        128.334        128.612          4.462          0.974          0.087         94.949          5.744          2.051         11.186           0.973          2.051          0.186          1.000          0.901          1.000          0.720          0.649          0.500          0.064        121.877           0.024
           1988             69         67.393         69.347        142.773        140.138        132.570        128.581        128.606          4.860          0.766          0.087         96.711          5.922          1.952         15.003           1.231          1.952          0.190          1.000          0.912          1.000          0.900          0.821          0.500          0.065        118.399           0.023
           1988             70         67.384         68.372        141.182        139.741        132.810        128.827        128.650          5.138          0.653          0.087         98.320          6.104          1.803         17.301           1.353          1.803          0.193          1.000          0.920          1.000          0.980          0.902          0.500          0.066        117.898           0.023
           1988             71         67.174         68.169        139.396        139.150        132.884        129.039        128.728          5.577          0.578          0.088         99.665          6.288          1.542         18.855           1.395          1.542          0.197          1.000          0.930          1.000          1.000          0.930          0.500          0.067        117.910           0.023
           1988             72         67.027         67.860        138.156        138.399        132.792        129.189        128.820          4.203          0.525          0.089        103.045          6.475          3.579         11.317           0.949          3.579          0.199          1.000          0.891          1.000          0.710          0.633          0.500          0.070        117.923           0.023
           1988             73         66.813         67.541        137.227        137.595        132.558        129.263        128.909          4.790          0.484          0.091        104.865          6.668          2.026          8.024           0.571          2.026          0.206          1.000          0.928          1.000          0.410          0.381          0.500          0.071        117.936           0.023
           1988             74         66.569         67.249        136.517        136.803        132.213        129.253        128.978          4.726          0.451          0.092        106.666          6.864          2.011          9.675           0.692          2.011          0.210          1.000          0.923          1.000          0.500          0.462          0.500          0.072        117.949           0.023
           1988             75         66.322         66.985        135.960        136.057        131.788        129.160        129.014          4.530          0.424          0.094        108.436          7.064          1.983         12.038           0.893          1.983          0.213          1.000          0.909          1.000          0.655          0.595          0.500          0.073        117.963           0.023
           1988             76         66.082         66.748        135.508        135.371        131.310        128.990        129.009          4.383          0.402          0.095        110.743          7.267          2.524         14.661           1.116          2.524          0.217          1.000          0.896          1.000          0.830          0.744          0.500          0.075        117.977           0.023
           1988             77         65.851         66.530        135.130        134.749        130.804        128.753        128.958          4.374          0.383          0.096        112.960          7.474          2.438         12.503           0.914          2.438          0.221          1.000          0.903          1.000          0.675          0.609          0.500          0.076        117.991           0.023
           1988             78         65.633         66.331        134.805        134.191        130.287        128.460        128.858          4.369          0.366          0.098        115.131          7.685          2.397         12.080           0.861          2.397          0.226          1.000          0.904          1.000          0.635          0.574          0.500          0.077        118.006           0.023
           1988             79         65.432         66.146        134.492        133.723        129.780        128.124        128.711          4.253          0.351          0.099        117.410          7.900          2.509         11.605           0.824          2.509          0.230          1.000          0.900          1.000          0.610          0.549          0.500          0.079        118.022           0.023
           1988             80         65.244         65.967        134.168        133.349        129.300        127.759        128.521          4.219          0.338          0.100        119.597          8.119          2.422         11.915           0.835          2.422          0.235          1.000          0.898          1.000          0.620          0.557          0.500          0.080        118.037           0.023
           1988             81         65.065         65.792        133.837        133.049        128.856        127.378        128.292          4.186          0.326          0.102        122.015          8.342          2.658         12.946           0.900          2.658          0.239          1.000          0.895          1.000          0.670          0.600          0.500          0.082        118.054           0.023
           1988             82         64.890         65.619        133.501        132.808        128.452        126.993        128.033          4.227          0.316          0.103        124.141          8.569          2.369         13.048           0.882          2.369          0.244          1.000          0.898          1.000          0.655          0.588          0.500          0.083        118.070           0.023
           1988             83         64.719         65.448        133.162        132.615        128.091        126.613        127.749          4.190          0.306          0.105        126.554          8.800          2.662         14.878           1.005          2.662          0.248          1.000          0.893          1.000          0.750          0.670          0.500          0.085        118.087           0.023
           1988             84         64.554         65.280        132.825        132.460        127.771        126.244        127.448          4.104          0.297          0.106        128.777          9.036          2.476         13.817           0.922          2.476          0.253          1.000          0.891          1.000          0.690          0.615          0.500          0.086        118.105           0.023
           1988             85         64.413         65.137        132.510        132.342        127.491        125.894        127.137          3.317          3.089          0.108        131.216          9.275          2.697         11.461           0.865          2.697          0.258          1.000          0.836          1.000          0.690          0.577          0.500          0.088        118.123           0.023
           1988             86         64.250         64.968        132.175        132.241        127.247        125.564        126.822          4.067          0.282          0.109        133.598          9.519          2.644         11.665           0.739          2.644          0.262          1.000          0.896          1.000          0.550          0.493          0.500          0.089        118.142           0.023
           1988             87         64.088         64.803        131.841        132.160        127.036        125.259        126.510          3.984          0.275          0.111        136.129          9.767          2.798         12.244           0.775          2.798          0.267          1.000          0.891          1.000          0.580          0.517          0.500          0.091        118.161           0.023
           1988             88         63.920         64.632        131.500        132.093        126.855        124.978        126.203          4.152          0.268          0.112        138.485         10.020          2.628         13.975           0.849          2.628          0.272          1.000          0.899          1.000          0.630          0.566          0.500          0.092        118.180           0.023
           1988             89         63.750         64.460        131.156        132.038        126.699        124.722        125.907          4.185          0.262          0.114        140.681         10.277          2.473         15.416           0.923          2.473          0.277          1.000          0.898          1.000          0.685          0.615          0.500          0.094        118.200           0.023
           1988             90         63.583         64.292        130.814        131.994        126.565        124.491        125.624          4.094          0.257          0.115        143.033         10.538          2.634         16.930           1.022          2.634          0.281          1.000          0.891          1.000          0.765          0.681          0.500          0.095        118.221           0.023
           1988             91         63.498         64.203        130.549        131.984        126.452        124.283        125.356          1.724          0.752          0.117        145.454         10.803          2.707          4.380           0.406          2.707          0.286          1.000          0.637          1.000          0.425          0.271          0.500          0.097        118.242           0.023
           1988             92         70.960         74.764        135.430        132.069        126.380        124.102        125.105          2.454          2.454          0.118        147.521         11.072          2.358         11.039           0.885          2.358          0.291          1.000          0.737          1.000          0.800          0.590          0.500          0.098        107.103           0.021
           1988             93         70.718         74.754        144.877        134.026        126.714        124.025        124.889          2.686          2.686          0.117        150.753         11.345          3.527         13.550           1.027          3.527          0.295          1.000          0.765          1.000          0.895          0.684          0.500          0.100         97.019           0.019
           1988             94         71.348         74.774        149.324        140.994        128.374        124.294        124.770          2.077          2.077          0.118        154.424         11.624          3.972          9.269           0.771          3.972          0.302          1.000          0.686          1.000          0.750          0.514          0.500          0.103         87.890           0.018
           1988             95         70.763         74.751        149.301        147.575        139.847        126.805        125.177          2.638          2.638          0.118        157.954         11.909          3.839         12.657           0.915          3.839          0.309          1.000          0.767          1.000          0.795          0.610          0.500          0.105         79.626           0.016
           1988             96         71.910         74.791        149.232        147.304        140.141        128.872        125.916          1.531          1.531          0.119        161.731         12.201          4.093          5.632           0.501          4.093          0.316          1.000          0.591          1.000          0.565          0.334          0.500          0.107         72.406           0.014
           1988             97         70.377         74.732        149.282        147.570        142.800        139.800        129.604          3.005          3.005          0.120        164.650         12.500          3.242         16.440           1.063          3.242          0.323          1.000          0.805          1.000          0.880          0.709          0.500          0.109         65.609           0.013
           1988             98         67.544         73.899        147.342        146.919        142.430        139.726        131.628          2.904          2.140          0.121        167.538         12.805          3.218         17.275           1.127          3.218          0.329          1.000          0.791          1.000          0.950          0.752          0.500          0.111         60.354           0.012
           1988             99         69.440         73.639        145.760        146.083        141.965        139.574        133.217          2.166          2.166          0.122        170.324         13.114          3.121         13.300           0.995          3.121          0.335          1.000          0.691          1.000          0.960          0.663          0.500          0.113         54.701           0.011
           1988            100         67.408         72.639        144.358        145.133        141.403        139.340        134.442          2.198          2.198          0.122        173.907         13.429          3.923         11.633           0.836          3.923          0.341          1.000          0.710          1.000          0.785          0.557          0.500          0.115         50.046           0.010
           1988            101         67.394         70.172        142.986        144.098        140.747        139.021        135.358          2.494          1.511          0.124        177.766         13.749          4.207          8.667           0.552          4.207          0.348          1.000          0.775          1.000          0.475          0.368          0.500          0.117         46.827           0.009
           1988            102         72.469         74.807        149.357        145.103        140.421        138.701        136.026          0.988          0.988          0.125        179.372         14.078          4.252          1.962           0.175          1.962          0.356          1.000          0.467          1.000          0.250          0.117          0.500          0.118         43.862           0.009
           1988            103         71.234         74.754        149.304        147.576        142.800        139.800        139.800          2.171          2.171          0.126        181.784         14.408          2.771          9.004           0.606          2.771          0.359          1.000          0.721          1.000          0.560          0.404          0.500          0.120         39.938           0.008
           1988            104         69.197         74.317        147.448        146.945        142.435        139.727        139.785          2.460          2.460          0.127        185.989         14.743          4.568         12.840           0.807          4.568          0.364          1.000          0.758          1.000          0.710          0.538          0.500          0.122         36.384           0.007
           1988            105         67.352         72.491        145.746        146.098        141.975        139.576        139.744          3.228          2.405          0.129        189.180         15.085          3.563         18.059           0.952          3.563          0.372          1.000          0.841          1.000          0.755          0.635          0.500          0.124         33.670           0.007
           1988            106         67.349         69.910        144.028        145.076        141.402        139.342        139.663          3.219          1.553          0.130        192.395         15.434          3.593         16.973           0.874          3.593          0.378          1.000          0.844          1.000          0.690          0.583          0.500          0.126         31.671           0.006
           1988            107         67.356         68.447        142.248        143.904        140.710        139.015        139.534          3.016          0.957          0.132        195.759         15.787          3.749         14.152           0.736          3.749          0.385          1.000          0.832          1.000          0.590          0.491          0.500          0.128         30.256           0.006
           1988            108         67.094         68.262        140.110        142.651        139.904        138.593        139.346          2.581          0.758          0.134        199.660         16.147          4.292         10.320           0.571          4.292          0.392          1.000          0.793          1.000          0.480          0.381          0.500          0.131         29.377           0.006
           1988            109         66.919         67.881        138.594        141.305        138.991        138.073        139.091          2.700          0.647          0.136        203.702         16.514          4.442         11.140           0.588          4.442          0.399          1.000          0.808          1.000          0.485          0.392          0.500          0.133         28.851           0.006
           1988            110         67.411         68.099        137.755        139.997        137.997        137.458        138.764          1.743          1.743          0.138        206.489         16.889          3.194          5.464           0.350          3.194          0.407          1.000          0.668          1.000          0.350          0.234          0.500          0.135         28.323           0.006
           1988            111         66.630         67.438        136.946        138.816        136.965        136.759        138.363          1.734          1.631          0.140        210.324         17.268          4.248          8.446           0.544          4.248          0.413          1.000          0.654          1.000          0.555          0.363          0.500          0.137         27.864           0.006
           1988            112         66.345         67.058        136.237        137.725        135.925        135.992        137.889          2.915          0.522          0.142        213.887         17.654          3.984         15.600           0.756          3.984          0.421          1.000          0.826          1.000          0.610          0.504          0.500          0.139         27.769           0.006
           1988            113         66.050         66.759        135.669        136.742        134.896        135.173        137.346          2.673          1.282          0.144        216.678         18.047          3.219         14.850           0.749          3.219          0.428          1.000          0.799          1.000          0.625          0.499          0.500          0.141         27.804           0.006
           1988            114         65.747         66.469        135.174        135.858        133.897        134.318        136.740          3.077          0.449          0.146        219.667         18.444          3.422         16.698           0.759          3.422          0.433          1.000          0.843          1.000          0.600          0.506          0.500          0.143         27.840           0.006
           1988            115         65.492         66.238        134.780        135.079        132.940        133.442        136.081          2.524          1.223          0.148        222.542         18.846          3.315         15.501           0.789          3.315          0.439          1.000          0.779          1.000          0.675          0.526          0.500          0.145         27.877           0.006
           1988            116         65.234         65.996        134.378        134.421        132.045        132.563        135.377          2.952          0.401          0.149        226.037         19.254          3.940         16.591           0.751          3.940          0.445          1.000          0.834          1.000          0.600          0.501          0.500          0.147         27.915           0.006
           1988            117         64.992         65.765        133.962        133.894        131.223        131.695        134.641          2.936          0.381          0.152        229.587         19.667          4.002         14.910           0.660          4.002          0.452          1.000          0.838          1.000          0.525          0.440          0.500          0.149         27.953           0.006
           1988            118         64.763         65.541        133.539        133.472        130.482        130.852        133.883          2.898          0.365          0.154        232.703         20.087          3.575         14.425           0.633          3.575          0.459          1.000          0.835          1.000          0.505          0.422          0.500          0.151         27.992           0.006
           1988            119         64.619         65.399        133.189        133.154        129.821        130.046        133.115          1.594          0.350          0.156        236.240         20.512          4.002          6.772           0.395          4.002          0.465          1.000          0.643          1.000          0.410          0.264          0.500          0.153         28.033           0.006
           1988            120         66.747         66.595        133.424        132.902        129.241        129.285        132.349          1.389          1.389          0.158        240.313         20.944          4.545          5.553           0.336          4.545          0.472          1.000          0.598          1.000          0.375          0.224          0.500          0.155         26.037           0.005
