Summary_file = soilp.sum
Title = soilp Sample Simulation
       day      year        labile_p(1)        labile_p(2)        labile_p(3)        labile_p(4)        labile_p(5)        labile_p(6)        labile_p(7)       unavail_p(1)       unavail_p(2)       unavail_p(3)       unavail_p(4)       unavail_p(5)       unavail_p(6)       unavail_p(7)          rock_p(1)          rock_p(2)          rock_p(3)          rock_p(4)          rock_p(5)          rock_p(6)          rock_p(7)        banded_p(1)        banded_p(2)        banded_p(3)        banded_p(4)        banded_p(5)        banded_p(6)        banded_p(7)       biom_p()        hum_p()        fom_p()
     (day)    (year)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)             ()             ()        (kg/ha)
         1      1988              9.756              1.945              3.872              3.928              4.047              4.078              4.079             97.500             19.500             38.700             39.300             40.500             40.800             40.800              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000         23.254       1492.939          1.924
         2      1988              9.765              1.942              3.875              3.925              4.045              4.075              4.077             97.500             19.500             38.700             39.300             40.500             40.800             40.800              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000         23.358       1492.916          1.843
         3      1988              9.778              1.940              3.879              3.924              4.042              4.073              4.076             97.500             19.500             38.700             39.300             40.500             40.800             40.800              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000         23.462       1492.889          1.757
         4      1988              9.800              1.941              3.886              3.923              4.040              4.071              4.075             97.500             19.500             38.700             39.300             40.500             40.800             40.800              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000         23.565       1492.858          1.662
         5      1988             15.820              1.945              3.893              3.923              4.039              4.069              4.074             97.521             19.500             38.700             39.300             40.500             40.800             40.800             23.985              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000         23.655       1492.825          1.574
         6      1988             15.844              1.950              3.901              3.923              4.037              4.067              4.073             97.540             19.500             38.700             39.300             40.500             40.800             40.800             23.971              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000         23.727       1492.792          1.496
         7      1988             15.870              1.956              3.910              3.924              4.036              4.065              4.072             97.557             19.500             38.700             39.300             40.500             40.800             40.800             23.956              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000         23.784       1492.761          1.429
         8      1988             15.899              1.964              3.919              3.925              4.035              4.064              4.071             97.574             19.500             38.700             39.300             40.500             40.800             40.800             23.941              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000         23.830       1492.731          1.369
         9      1988             15.928              1.972              3.929              3.927              4.035              4.063              4.070             97.591             19.500             38.700             39.300             40.500             40.800             40.800             23.927              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000         23.870       1492.698          1.310
