Summary_file = gmtb0s.sum
Title = Greenmount B0_SWIM
           date      soil_loss  erosion_cover
      7/09/1978          0.000          0.000
     22/09/1978          0.716          0.000
     15/10/1978          0.744          0.000
     16/10/1978          0.089          0.000
     18/10/1978          0.018          0.000
      1/11/1978          0.215          0.000
      2/11/1978          0.003          0.000
      4/11/1978          0.255          0.000
      5/11/1978          0.539          0.000
     10/11/1978          0.002          0.000
     11/11/1978          0.539          0.000
     12/11/1978          2.195          0.000
     19/11/1978          0.574          0.000
      4/12/1978          0.791          0.000
      9/12/1978          0.000          0.000
     13/12/1978          0.000          0.000
     17/12/1978          2.145          0.000
     23/12/1978          5.776          0.000
     26/12/1978          1.932          0.000
     27/12/1978          0.001          0.000
     28/12/1978          0.001          0.000
     29/12/1978          4.239          0.000
     18/01/1979          3.300          0.000
     19/01/1979          0.756          0.000
      5/02/1979          2.886          0.000
      9/02/1979          1.754          0.000
     16/02/1979          0.396          0.000
      4/03/1979          7.740          0.000
     15/03/1979          7.503          0.000
     16/03/1979          0.089          0.000
     22/03/1979          0.266          0.000
     28/04/1979          0.204          0.000
      5/05/1979          0.032          0.000
      6/05/1979          1.306          0.000
     14/05/1979          0.164          0.000
     16/05/1979          0.013          0.000
     17/05/1979          0.000          0.000
     20/06/1979          4.905          0.000
     21/06/1979          0.244          0.000
     19/07/1979          0.007          0.000
     26/07/1979          0.208          0.000
     29/07/1979          1.050          0.000
     12/09/1979          0.010          0.000
     19/09/1979          0.349          0.000
     30/09/1979          0.002          0.000
      4/10/1979          0.118          0.000
      5/10/1979          0.007          0.000
     20/10/1979          0.671          0.000
     28/10/1979          1.606          0.000
      2/11/1979          0.021          0.000
      9/11/1979          1.163          0.000
     11/11/1979          1.082          0.000
     12/11/1979          0.983          0.000
     16/11/1979          0.017          0.000
     21/11/1979          0.038          0.000
      3/12/1979          1.457          0.000
     14/12/1979          1.115          0.000
     15/12/1979          0.000          0.000
     16/12/1979          0.933          0.000
     21/12/1979          4.157          0.000
      7/01/1980          0.005          0.000
      9/01/1980          0.422          0.000
     12/01/1980          0.009          0.000
     26/01/1980          3.096          0.000
     27/01/1980          5.660          0.000
     28/01/1980          0.327          0.000
      4/02/1980          0.718          0.000
      5/02/1980         11.970          0.000
     10/02/1980          0.206          0.000
     28/05/1980          2.394          0.000
     30/07/1980          1.274          0.000
     31/07/1980          0.115          0.000
     18/10/1980          0.000          0.000
     20/10/1980          0.002          0.000
     24/10/1980          0.958          0.000
     25/10/1980          2.817          0.000
     15/11/1980          0.017          0.000
     22/11/1980          0.035          0.000
     25/11/1980          0.644          0.000
      4/12/1980          1.235          0.000
      5/12/1980          3.138          0.000
      6/12/1980          0.646          0.000
     15/12/1980          1.681          0.000
     16/12/1980          1.500          0.000
     27/12/1980          0.123          0.000
     29/12/1980          2.244          0.000
     31/12/1980          0.151          0.000
      1/01/1981          0.568          0.000
      8/01/1981          0.207          0.000
     17/01/1981          0.007          0.000
     30/01/1981          0.001          0.000
      3/02/1981          2.098          0.000
      5/02/1981          9.966          0.000
      6/02/1981          1.070          0.000
      7/02/1981         12.409          0.000
      9/02/1981          1.151          0.000
     17/02/1981          0.001          0.000
     21/02/1981          0.070          0.000
     22/02/1981          0.000          0.000
     13/03/1981          1.583          0.000
     22/03/1981          1.642          0.000
     25/03/1981          0.290          0.000
      1/04/1981          6.674          0.000
      2/04/1981          0.115          0.000
      4/04/1981          2.861          0.000
      6/04/1981          0.005          0.000
      7/04/1981          0.833          0.000
      8/04/1981          0.009          0.000
     26/04/1981          0.008          0.000
     21/05/1981          0.101          0.000
     22/05/1981          0.478          0.000
      1/06/1981          1.736          0.000
     10/06/1981          0.027          0.000
     20/06/1981          0.002          0.000
     23/06/1981          0.049          0.000
      2/07/1981          0.001          0.000
     21/07/1981          1.131          0.000
     22/07/1981          0.451          0.000
     25/08/1981          0.645          0.000
     20/09/1981          4.331          0.000
     18/10/1981          0.252          0.000
      1/11/1981          2.929          0.000
      2/11/1981          1.982          0.000
      3/11/1981          2.331          0.000
     12/11/1981          0.080          0.000
     19/11/1981          0.000          0.000
     25/11/1981          0.002          0.000
     30/11/1981          1.026          0.000
      1/12/1981          0.001          0.000
      2/12/1981          3.024          0.000
      3/12/1981          8.572          0.000
     15/12/1981          0.754          0.000
     17/12/1981          0.154          0.000
     20/12/1981          2.895          0.000
     21/12/1981          0.012          0.000
     23/12/1981          2.759          0.000
      5/01/1982          0.452          0.000
      8/01/1982          0.244          0.000
     17/01/1982          0.282          0.000
     18/01/1982          3.682          0.000
     20/01/1982          0.739          0.000
     21/01/1982          0.102          0.000
     22/01/1982          0.156          0.000
      1/02/1982          2.450          0.000
     23/02/1982          0.067          0.000
     24/02/1982          6.013          0.000
     27/02/1982          0.683          0.000
     28/02/1982          0.462          0.000
      1/03/1982          1.117          0.000
      4/03/1982          2.757          0.000
      5/03/1982          0.004          0.000
      6/03/1982          3.019          0.000
      7/03/1982          0.587          0.000
     10/03/1982          1.850          0.000
     11/03/1982          0.265          0.000
     17/03/1982          0.349          0.000
     31/03/1982          0.098          0.000
     16/04/1982          0.009          0.000
     20/04/1982          0.171          0.000
     21/04/1982          0.007          0.000
     22/04/1982          0.402          0.000
     27/04/1982          2.278          0.000
      5/05/1982          0.278          0.000
     24/07/1982          0.006          0.000
     17/08/1982          0.000          0.000
     18/08/1982          0.006          0.000
      5/09/1982          0.297          0.000
      8/09/1982          2.918          0.000
      9/09/1982          0.086          0.000
     10/10/1982          3.315          0.000
     11/10/1982          0.003          0.000
      1/11/1982          0.018          0.000
      1/12/1982          0.386          0.000
      2/12/1982          0.181          0.000
      3/12/1982          3.859          0.000
     13/12/1982          0.002          0.000
     19/12/1982          1.363          0.000
     20/12/1982          0.299          0.000
     25/12/1982          0.285          0.000
     30/12/1982          0.231          0.000
     31/12/1982          0.099          0.000
      1/01/1983          0.001          0.000
      2/01/1983          0.518          0.000
      3/01/1983          2.112          0.000
     10/01/1983          0.160          0.000
     14/02/1983          0.004          0.000
     19/02/1983          0.250          0.000
     21/02/1983          0.004          0.000
     17/03/1983          1.393          0.000
     20/03/1983          2.925          0.000
     21/03/1983          0.116          0.000
     27/03/1983          1.729          0.000
      4/04/1983          0.076          0.000
     25/04/1983          0.288          0.000
     27/04/1983          0.067          0.000
     28/04/1983          1.326          0.000
     30/04/1983          1.626          0.000
      1/05/1983          6.595          0.000
      2/05/1983          4.666          0.000
      3/05/1983          4.235          0.000
     27/05/1983          3.881          0.000
     28/05/1983          0.706          0.000
     18/06/1983          0.454          0.000
     20/06/1983          0.001          0.000
     21/06/1983          2.572          0.000
     22/06/1983          8.190          0.000
     28/07/1983          0.739          0.000
     29/07/1983          1.139          0.000
     17/08/1983          0.310          0.000
     26/08/1983          0.582          0.000
      6/09/1983          0.000          0.000
     17/09/1983          0.542          0.000
      5/10/1983          2.971          0.000
     10/10/1983          0.998          0.000
     11/10/1983          0.023          0.000
     13/10/1983          0.038          0.000
     15/10/1983          0.090          0.000
     19/10/1983          2.023          0.000
      3/11/1983          1.495          0.000
      4/11/1983          0.764          0.000
     15/11/1983          0.071          0.000
     16/11/1983          1.529          0.000
     20/11/1983          0.468          0.000
     21/11/1983          1.008          0.000
     24/11/1983          0.000          0.000
      1/12/1983          1.427          0.000
      7/12/1983          0.266          0.000
     10/12/1983          0.000          0.000
     11/12/1983          0.013          0.000
     15/12/1983          0.608          0.000
     18/12/1983          0.189          0.000
     27/12/1983          0.114          0.000
      4/01/1984          2.209          0.000
     11/01/1984          0.184          0.000
     28/01/1984          0.708          0.000
     29/01/1984          0.715          0.000
     30/01/1984          0.008          0.000
      8/02/1984          0.010          0.000
     13/02/1984          2.309          0.000
     15/02/1984          1.378          0.000
     24/02/1984          0.064          0.000
      4/03/1984          0.369          0.000
      9/03/1984          3.166          0.000
     14/03/1984          0.076          0.000
     23/03/1984          0.178          0.000
     25/03/1984          0.001          0.000
     26/03/1984          0.003          0.000
      7/04/1984          2.643          0.000
      8/04/1984          6.799          0.000
      9/04/1984          0.135          0.000
     21/04/1984          2.143          0.000
      1/06/1984          0.002          0.000
     10/06/1984          0.000          0.000
     17/06/1984          0.094          0.000
     18/06/1984          0.008          0.000
     25/06/1984          0.336          0.000
     11/07/1984          0.004          0.000
     12/07/1984          0.007          0.000
     13/07/1984          0.698          0.000
     14/07/1984          1.128          0.000
     26/07/1984          1.686          0.000
     10/08/1984          1.606          0.000
      4/09/1984          0.478          0.000
      5/09/1984          0.033          0.000
     13/09/1984          0.013          0.000
     17/09/1984          0.678          0.000
      3/11/1984          2.705          0.000
      4/11/1984          0.866          0.000
      5/11/1984          0.885          0.000
      9/11/1984          0.067          0.000
     11/11/1984          1.530          0.000
     12/11/1984          0.344          0.000
     11/12/1984          0.787          0.000
     14/12/1984          2.161          0.000
     18/12/1984          3.227          0.000
      8/01/1985          2.109          0.000
     18/01/1985          0.654          0.000
     23/01/1985          0.461          0.000
     24/01/1985          1.745          0.000
     17/02/1985          2.337          0.000
     19/02/1985          0.142          0.000
      8/03/1985          0.152          0.000
     25/03/1985          0.000          0.000
      3/04/1985          0.009          0.000
     22/04/1985          0.940          0.000
     10/05/1985          1.044          0.000
     16/05/1985          1.597          0.000
     19/05/1985          0.174          0.000
      3/06/1985          3.298          0.000
      4/06/1985          0.040          0.000
      8/07/1985          0.096          0.000
      9/07/1985          0.829          0.000
     13/08/1985          0.713          0.000
     23/08/1985          0.338          0.000
     30/08/1985          1.787          0.000
     31/08/1985          0.017          0.000
      1/09/1985          0.109          0.000
     11/09/1985          0.109          0.000
     20/09/1985          0.002          0.000
     12/10/1985          0.039          0.000
     13/10/1985          2.386          0.000
     16/10/1985          0.029          0.000
     19/10/1985          0.279          0.000
     23/10/1985          1.478          0.000
     26/10/1985          0.385          0.000
      7/11/1985          0.638          0.000
      8/11/1985          1.117          0.000
     19/11/1985          2.075          0.000
      2/12/1985          1.684          0.000
      9/12/1985          2.755          0.000
     10/12/1985          0.425          0.000
     13/12/1985          0.130          0.000
     14/12/1985          0.200          0.000
     22/12/1985          1.361          0.000
     31/12/1985          0.030          0.000
     24/01/1986          4.093          0.000
     25/01/1986          1.912          0.000
      7/02/1986          4.636          0.000
     24/02/1986          2.449          0.000
     12/11/1986          5.412          0.000
     13/11/1986          0.015          0.000
      2/01/1987          0.742          0.000
      8/01/1987          0.010          0.000
     10/01/1987          0.213          0.000
     19/01/1987          2.559          0.000
      2/03/1987          1.028          0.000
      3/03/1987          0.097          0.000
     20/03/1987          0.869          0.000
     29/03/1987          0.451          0.000
      3/04/1987          0.100          0.000
     27/04/1987          3.246          0.000
     30/04/1987          0.139          0.000
     15/05/1987          3.115          0.000
     16/05/1987          0.052          0.000
     21/06/1987          0.569          0.000
     27/07/1987          1.747          0.000
      2/08/1987          1.086          0.000
     17/08/1987          1.008          0.000
     30/08/1987          0.001          0.000
     10/10/1987          0.002          0.000
     11/10/1987          0.000          0.000
     13/10/1987          0.236          0.000
     16/10/1987          7.613          0.000
     17/10/1987          0.043          0.000
     23/10/1987          3.123          0.000
     11/11/1987          0.660          0.000
     30/11/1987          4.951          0.000
      1/12/1987          2.438          0.000
     10/12/1987          0.031          0.000
     11/12/1987          0.063          0.000
     12/12/1987          0.096          0.000
      3/01/1988          0.001          0.000
      4/01/1988          0.387          0.000
      5/01/1988          1.327          0.000
     15/01/1988          0.045          0.000
     16/01/1988          0.914          0.000
     17/01/1988          0.035          0.000
     19/01/1988          4.324          0.000
     20/01/1988          0.420          0.000
      7/02/1988          0.065          0.000
     12/02/1988          0.472          0.000
     13/02/1988          7.721          0.000
     14/02/1988          0.393          0.000
     28/02/1988          1.648          0.000
     11/03/1988          0.000          0.000
     16/03/1988          0.423          0.000
     21/03/1988          0.010          0.000
     22/03/1988          0.525          0.000
     31/03/1988          4.468          0.000
      1/04/1988         10.495          0.000
      3/04/1988          8.245          0.000
      4/04/1988          1.870          0.000
      5/04/1988          2.178          0.000
      6/04/1988          0.463          0.000
      7/04/1988          0.284          0.000
     10/04/1988          0.005          0.000
     11/04/1988          7.027          0.000
     12/04/1988          0.161          0.000
     13/04/1988          0.015          0.000
      4/06/1988          1.246          0.000
      5/06/1988          1.595          0.000
      7/01/1989          2.681          0.000
     28/03/1989          3.215          0.000
     25/04/1989          1.491          0.000
     26/04/1989          1.062          0.000
