APSIM output file, version = 5.3
Title = site=goondiwindi; soil=lg1; treatment=LongFallow1; Nrate=200; RootDepth=deep; Sowing = AvgWindow
           date           year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()         (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)             ()        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957           1957          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          2.660          9.845          0.000         453.500          1.390        458.739         31.350
     31/12/1958           1958       5008.476        239.640          4.120          0.000          0.000          0.000          0.000          0.000          0.000       1073.304       7410.207          0.000         662.400         27.470        466.942         90.290
     31/12/1959           1959          0.000          0.000          0.000          0.000          0.000          0.000        579.168        134.758          2.873       4926.848       6555.280          0.000         654.400         28.580        378.392         48.953
     31/12/1960           1960          0.000          0.000          0.000          0.000          0.000          0.000       3674.522         52.407          2.480       2849.075       5145.395          0.000         450.100          0.000        435.308          3.742
     31/12/1961           1961       3096.555        182.269          6.270          0.000          0.000          0.000          0.000          0.000          0.000        757.490       6297.149          0.000         745.300          9.779        445.132          0.000
     31/12/1962           1962          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         50.343        825.091          0.000         871.900        104.316        507.630        185.343
     31/12/1963           1963          0.000          0.000          0.000          0.000          0.000          0.000       3559.291        175.445          2.898        781.073       3747.533          0.000         577.700          5.775        436.834         12.942
     31/12/1964           1964       5363.829        291.125          5.460          0.000          0.000          0.000          0.000          0.000          0.000       1179.438       9181.566          0.000         650.500          4.266        457.633         44.923
     31/12/1965           1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          2.991          0.263       4256.015       6068.655          0.000         402.800          0.307        329.918          0.000
     31/12/1966           1966          0.000          0.000          0.000          0.000          0.000          0.000       1666.627        111.225          2.573        785.013       3609.346          0.000         572.500          8.446        438.433          0.000
     31/12/1967           1967       3424.385        217.942          5.722          0.000          0.000          0.000          0.000          0.000          0.000       1284.352       7837.770          0.000         385.700         13.948        282.640          0.000
     31/12/1968           1968          0.000          0.000          0.000          0.000          0.000          0.000          0.000          3.552          0.272        912.090       5740.130          0.000         561.600          8.120        430.531          0.000
     31/12/1969           1969          0.000          0.000          0.000          0.000          0.000          0.000       1632.733        128.049          2.430        761.472       3158.615          0.000         621.900         33.799        429.916          0.000
     31/12/1970           1970       4706.022        279.785          4.376          0.000          0.000          0.000          0.000          0.000          0.000        970.344       8553.915          0.000         743.300         13.364        412.864          0.000
     31/12/1971           1971          0.000          0.000          0.000          0.000          0.000          0.000          0.000         15.089          1.251        334.025       3653.109          0.000         668.800         16.999        504.174         94.853
     31/12/1972           1972          0.000          0.000          0.000          0.000          0.000          0.000       4772.188        188.698          2.996       1566.020       4470.468          0.000         501.100          0.263        421.969          0.434
     31/12/1973           1973       3912.048        209.530          3.633          0.000          0.000          0.000          0.000          0.000          0.000        461.847       5419.566          0.000         727.500         26.255        534.719          6.649
     31/12/1974           1974          0.000          0.000          0.000          0.000          0.000          0.000          0.000         53.109          2.542        181.585       1040.749          0.000         509.100         19.709        427.885          0.000
     31/12/1975           1975          0.000          0.000          0.000          0.000          0.000          0.000       2037.296         73.105          2.670        409.503       3276.845          0.000         692.900         16.500        485.827          0.000
     31/12/1976           1976       5435.667        256.460          6.805          0.000          0.000          0.000          0.000          0.000          0.000       1094.574       8543.605          0.000         817.500        103.654        457.707        130.556
     31/12/1977           1977          0.000          0.000          0.000          0.000          0.000          0.000        526.617        126.140          2.702       1311.929       5739.858          0.000         614.500          2.740        446.682         13.924
     31/12/1978           1978          0.000          0.000          0.000          0.000          0.000          0.000       3484.020         47.464          2.349        605.136       3936.865          0.000         799.100         20.299        550.392         39.825
     31/12/1979           1979       3944.287        228.754          3.741          0.000          0.000          0.000          0.000          0.000          0.000        626.500       6765.683          0.000         488.600          2.882        365.143         38.848
     31/12/1980           1980          0.000          0.000          0.000          0.000          0.000          0.000        603.370         91.868          2.787       1267.109       3321.478          0.000         387.700          0.000        339.794          0.000
     31/12/1981           1981          0.000          0.000          0.000          0.000          0.000          0.000       2860.833         35.448          2.389        864.430       3931.952          0.000         664.100         27.493        469.310          0.000
     31/12/1982           1982          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          5.413         40.082          0.000         518.300         16.834        416.416         30.464
