ApsimVersion = 6.0
Title = Walgett 750mm wet soil
           date            day           year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw flowering_date  grain_protein   sowing_paw2n
             ()          (day)         (year)            (?)              (?)      (m^2/m^2)        (kg/ha)        (kg/ha)            (?)            (?)           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)          (doy)            (%)            (?)
     16/10/1957            289           1957         49.800           49.800          0.000         5288.1         1267.0          0.240          0.483         94.300          2.884           3.65          114.6          2.492            248         16.468          0.669
     17/10/1958            290           1958        220.800          218.963          0.000         8331.2         2937.1          0.353          0.670        146.751          2.899           8.52           60.8         44.942            245         16.555          0.669
     21/10/1959            294           1959        170.900          170.900          0.000         7234.1         2143.7          0.296          0.539        144.329          2.903           6.22           67.6          8.366            250         16.576          0.669
     18/10/1960            292           1960         73.500           73.500          0.000         5763.7         1482.3          0.257          0.480         94.022          2.889           4.28           97.4          3.126            252         16.499          0.669
     12/10/1961            285           1961         83.900           83.900          0.000         5000.4         1523.9          0.305          0.746         96.471          2.896           4.41          139.6          5.077            247         16.536          0.669
     13/10/1962            286           1962        191.200          191.200          0.000         7268.1         2930.2          0.403          0.631        146.036          2.890           8.47           65.5         12.819            244         16.502          0.669
     14/10/1963            287           1963        179.300          175.419          0.000         8540.4         2738.0          0.321          0.743        151.488          2.919           7.99           76.3         15.343            246         16.666          0.669
     14/10/1964            288           1964        191.300          191.300          0.000         6586.0         1734.8          0.263          0.433        112.728          2.899           5.03           67.2         57.418            248         16.552          0.669
     12/10/1965            285           1965         81.400           81.400          0.000         4337.2         1485.5          0.343          0.783         84.460          2.491           3.70          161.8          8.947            248         14.226          0.669
     21/10/1966            294           1966        229.300          229.300          0.000        11513.3         4130.3          0.359          0.795        185.688          2.514          10.39           49.9         14.588            252         14.357          0.669
     13/10/1967            286           1967        127.800          127.800          0.000         7591.5         1927.8          0.254          0.517        125.236          2.884           5.56           75.5          3.797            249         16.469          0.669
     24/10/1968            298           1968        169.000          169.000          0.000         8304.4         3208.1          0.386          0.744        141.958          2.886           9.26           70.0         11.203            258         16.481          0.669
     16/10/1969            289           1969        256.800          256.782          0.000        10704.5         4552.0          0.425          0.832        182.482          2.472          11.25           50.6         52.532            244         14.115          0.669
     19/10/1970            292           1970        151.600          151.600          0.000         5943.1         2482.7          0.418          0.667        114.442          2.877           7.14           99.3         42.925            252         16.425          0.669
     18/10/1971            291           1971        161.000          160.999          0.000         8553.2         3224.9          0.377          0.717        152.413          2.889           9.32           64.3         12.596            252         16.498          0.669
     08/10/1972            282           1972         69.500           69.500          0.000         4591.0         1358.9          0.296          0.746         88.063          2.588           3.52          155.1          5.558            244         14.777          0.669
     07/10/1973            280           1973        162.100          162.100          0.000         7797.1         3080.4          0.395          0.698        134.411          2.884           8.88           71.4         10.221            238         16.467          0.669
