Summary_file = csu-S09.sum
Title = south plots
      year     month       day day_month              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)             sw(11)             sw(12)             sw(13)             sw(14)             sw(15)             sw(16)             sw(17)             sw(18)             sw(19)             sw(20)          no3ppm(1)          no3ppm(2)          no3ppm(3)          no3ppm(4)          no3ppm(5)          no3ppm(6)          no3ppm(7)          no3ppm(8)          no3ppm(9)         no3ppm(10)         no3ppm(11)         no3ppm(12)         no3ppm(13)         no3ppm(14)         no3ppm(15)         no3ppm(16)         no3ppm(17)         no3ppm(18)         no3ppm(19)         no3ppm(20)          nh4ppm(1)          nh4ppm(2)          nh4ppm(3)          nh4ppm(4)          nh4ppm(5)          nh4ppm(6)          nh4ppm(7)          nh4ppm(8)          nh4ppm(9)         nh4ppm(10)         nh4ppm(11)         nh4ppm(12)         nh4ppm(13)         nh4ppm(14)         nh4ppm(15)         nh4ppm(16)         nh4ppm(17)         nh4ppm(18)         nh4ppm(19)         nh4ppm(20)
    (year)   (month)     (day)     (day)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)
      1993         3        62         3              0.292              0.295              0.259              0.266              0.259              0.253              0.262              0.284              0.304              0.315              0.309              0.331              0.333              0.321              0.334              0.322              0.328              0.335              0.335              0.335              0.239              0.100              0.043              0.041              0.622              0.945              0.931              0.848              0.659              0.984              0.636              0.622              0.619              0.597              0.627              0.600              0.613              0.617              0.612              0.612              0.386              0.278              0.153              0.003              0.086              0.048              0.022              0.010              0.003              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1993         4        91         1              0.138              0.224              0.238              0.251              0.249              0.265              0.265              0.285              0.304              0.314              0.308              0.331              0.332              0.320              0.333              0.321              0.328              0.334              0.334              0.334              0.356              0.191              0.363              0.165              1.176              1.447              1.238              1.006              0.731              0.984              0.649              0.632              0.626              0.598              0.636              0.602              0.618              0.624              0.618              0.617              0.141              0.097              0.332              0.028              0.083              0.040              0.021              0.011              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1993         4       110        20              0.051              0.137              0.233              0.246              0.246              0.265              0.266              0.286              0.304              0.314              0.308              0.330              0.331              0.320              0.333              0.321              0.327              0.334              0.334              0.334              0.483              0.092              1.390              0.473              1.506              1.727              1.432              1.103              0.775              0.985              0.657              0.639              0.631              0.599              0.642              0.604              0.621              0.628              0.621              0.620              0.085              0.000              0.727              0.059              0.082              0.040              0.020              0.011              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1993         5       126         6              0.051              0.104              0.231              0.244              0.245              0.265              0.267              0.286              0.304              0.314              0.308              0.330              0.331              0.319              0.333              0.320              0.327              0.334              0.334              0.334              0.474              0.174              2.301              0.828              1.739              1.927              1.571              1.175              0.810              0.985              0.664              0.644              0.635              0.600              0.647              0.605              0.623              0.631              0.624              0.623              0.084              0.010              0.810              0.068              0.068              0.035              0.021              0.011              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1993         5       140        20              0.052              0.178              0.229              0.243              0.244              0.265              0.268              0.287              0.304              0.314              0.308              0.330              0.331              0.319              0.332              0.320              0.327              0.333              0.334              0.334              0.410              0.150              3.036              1.195              1.902              2.066              1.676              1.230              0.837              0.985              0.670              0.648              0.639              0.601              0.650              0.606              0.625              0.634              0.626              0.625              0.000              0.000              0.805              0.076              0.058              0.035              0.022              0.012              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1993         6       158         7              0.261              0.264              0.247              0.267              0.267              0.299              0.299              0.302              0.308              0.314              0.307              0.330              0.331              0.319              0.332              0.320              0.326              0.333              0.333              0.333              1.283              3.619              1.812              1.965              2.121              2.540              2.060              1.385              0.881              0.984              0.676              0.653              0.642              0.601              0.654              0.607              0.627              0.637              0.629              0.628              3.109             18.870              0.612              0.117              0.058              0.037              0.024              0.013              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1993         6       167        16              0.053              0.178              0.237              0.257              0.259              0.288              0.291              0.306              0.315              0.318              0.308              0.329              0.330              0.318              0.332              0.320              0.326              0.333              0.333              0.333              8.501              9.619              2.648              2.014              2.105              2.493              2.062              1.456              0.925              0.996              0.681              0.656              0.644              0.601              0.656              0.607              0.628              0.638              0.630              0.629              5.466              5.840              0.642              0.096              0.057              0.038              0.024              0.013              0.005              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1993         7       193        12              0.334              0.339              0.279              0.283              0.281              0.317              0.319              0.329              0.332              0.342              0.332              0.351              0.335              0.318              0.332              0.319              0.326              0.333              0.333              0.333              0.526              1.930              2.696              2.444              1.784              2.330              2.410              1.837              1.155              1.081              0.784              0.718              0.658              0.603              0.662              0.608              0.631              0.643              0.633              0.632              0.565              0.869              0.794              0.255              0.089              0.046              0.026              0.013              0.005              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1993         7       209        28              0.138              0.181              0.210              0.222              0.234              0.277              0.293              0.313              0.320              0.330              0.323              0.345              0.345              0.335              0.346              0.336              0.341              0.345              0.343              0.342              0.866              0.525              0.363              0.118              0.065              0.050              0.051              1.780              1.189              1.047              0.802              0.735              0.671              0.608              0.678              0.622              0.653              0.666              0.653              0.651              0.143              0.171              0.646              0.110              0.057              0.037              0.023              0.011              0.004              0.002              0.001              0.000              0.000              0.000              0.000              0.000              0.001              0.001              0.001              0.001
