APSIM output file, version = 5.3
Title = stock lablab SAMPLE Simulation
           Date           rain        paddock         number            sex            age         weight     cond_score         intake      wt_change      trampling
            (?)            (?)            (?)            (?)            (?)            (d)           (kg)            (-)            (?)         (kg/d)        (kg/ha)
     01/10/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     02/10/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     03/10/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     04/10/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     05/10/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     06/10/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     07/10/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     08/10/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     09/10/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     10/10/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     11/10/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     12/10/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     13/10/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     14/10/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     15/10/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     16/10/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     17/10/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     18/10/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     19/10/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     20/10/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     21/10/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     22/10/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     23/10/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     24/10/1988          2.200              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     25/10/1988          0.400              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     26/10/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     27/10/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     28/10/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     29/10/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     30/10/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     31/10/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     01/11/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     02/11/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     03/11/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     04/11/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     05/11/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     06/11/1988          0.600              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     07/11/1988          4.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     08/11/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     09/11/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     10/11/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     11/11/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     12/11/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     13/11/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     14/11/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     15/11/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     16/11/1988         17.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     17/11/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     18/11/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     19/11/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     20/11/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     21/11/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     22/11/1988          2.200              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     23/11/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     24/11/1988          0.000              ?              ?              ?              ?              ?              ?              ?              ?          0.000
     25/11/1988          0.000          0.000             20          steer        366.000        251.225          2.221          8.307          1.225          0.000
     26/11/1988          0.000          0.000             20          steer        367.000        252.425          2.230          8.288          1.200          0.000
     27/11/1988          1.800          0.000             20          steer        368.000        253.601          2.239          8.268          1.176          0.000
     28/11/1988          0.000          0.000             20          steer        369.000        254.747          2.247          8.238          1.146          0.000
     29/11/1988          0.000          0.000             20          steer        370.000        255.857          2.255          8.195          1.110          0.000
     30/11/1988          0.000          0.000             20          steer        371.000        256.889          2.263          8.072          1.032          0.000
     01/12/1988          0.000          0.000             20          steer        372.000        257.790          2.270          7.843          0.901          0.000
     02/12/1988          0.000          0.000             20          steer        373.000        258.470          2.275          7.427          0.680          0.000
     03/12/1988          4.000          0.000             20          steer        374.000        259.023          2.278          7.182          0.554          0.000
     04/12/1988          0.000          0.000             20          steer        375.000        259.483          2.279          6.989          0.459          0.000
     05/12/1988          0.000          0.000             20          steer        376.000        259.899          2.280          6.895          0.417          0.000
     06/12/1988          0.000          0.000             20          steer        377.000        260.288          2.280          6.824          0.389          0.000
     07/12/1988          0.000          0.000             20          steer        378.000        260.649          2.279          6.745          0.361          0.000
     08/12/1988          4.800          0.000             20          steer        379.000        260.975          2.279          6.632          0.327          0.000
     09/12/1988          4.400          0.000             20          steer        380.000        261.237          2.278          6.392          0.261          0.000
     10/12/1988         40.000          0.000             20          steer        381.000        261.368          2.277          5.830          0.132          0.000
     11/12/1988          0.000          0.000             20          steer        382.000        261.181          2.274          4.623         -0.188          0.000
     12/12/1988         19.000          0.000             20          steer        383.000        260.472          2.265          3.168         -0.709          0.000
     13/12/1988          0.000          0.000             20          steer        384.000        259.404          2.245          2.126         -1.068          0.000
     14/12/1988          0.000          0.000             20          steer        385.000        258.130          2.216          1.527         -1.274          0.000
     15/12/1988          0.000          0.000             20          steer        386.000        256.739          2.183          1.186         -1.391          0.000
     16/12/1988          0.000          0.000             20          steer        387.000        255.272          2.148          0.968         -1.466          0.000
     17/12/1988          4.800          0.000             20          steer        388.000        253.751          2.110          0.806         -1.521          0.000
     18/12/1988         17.000          0.000             20          steer        389.000        252.192          2.072          0.688         -1.560          0.000
     19/12/1988          5.000          0.000             20          steer        390.000        250.613          2.032          0.618         -1.578          0.000
     20/12/1988          0.000          0.000             20          steer        391.000        249.049          1.993          0.624         -1.564          0.000
     21/12/1988          0.000          0.000             20          steer        392.000        247.498          1.954          0.632         -1.550          0.000
     22/12/1988          0.000          0.000             20          steer        393.000        245.948          1.915          0.609         -1.551          0.000
     23/12/1988          0.000          0.000             20          steer        394.000        244.422          1.876          0.640         -1.526          0.000
     24/12/1988          0.000          0.000             20          steer        395.000        242.888          1.838          0.603         -1.534          0.000
     25/12/1988          0.000          0.000             20          steer        396.000        241.379          1.799          0.635         -1.509          0.000
     26/12/1988          0.000          0.000             20          steer        397.000        239.879          1.762          0.634         -1.501          0.000
     27/12/1988         12.000          0.000             20          steer        398.000        238.385          1.724          0.628         -1.494          0.000
     28/12/1988          0.000          0.000             20          steer        399.000        236.890          1.687          0.608         -1.494          0.000
     29/12/1988          0.000          0.000             20          steer        400.000        235.412          1.650          0.623         -1.478          0.000
     30/12/1988          0.000          0.000             20          steer        401.000        233.943          1.613          0.623         -1.470          0.000
     31/12/1988          0.000          0.000             20          steer        402.000        232.478          1.576          0.615         -1.464          0.000
     01/01/1989          0.000          0.000             20          steer        403.000        231.020          1.540          0.610         -1.458          0.000
     02/01/1989          2.600          0.000             20          steer        404.000        229.568          1.504          0.604         -1.452          0.000
     03/01/1989         10.000          0.000             20          steer        405.000        228.110          1.468          0.574         -1.458          0.000
     04/01/1989          0.000          0.000             20          steer        406.000        226.663          1.432          0.578         -1.447          0.000
     05/01/1989          0.000          0.000             20          steer        407.000        225.234          1.396          0.600         -1.429          0.000
     06/01/1989         20.800          0.000             20          steer        408.000        223.817          1.361          0.608         -1.417          0.000
     07/01/1989          0.200          0.000             20          steer        409.000        222.394          1.326          0.575         -1.424          0.000
     08/01/1989          0.000          0.000             20          steer        410.000        220.979          1.291          0.576         -1.415          0.000
     09/01/1989          0.000          0.000             20          steer        411.000        219.580          1.256          0.592         -1.399          0.000
     10/01/1989          0.000          0.000             20          steer        412.000        218.193          1.221          0.602         -1.386          0.000
     11/01/1989         31.600          0.000             20          steer        413.000        216.822          1.187          0.618         -1.371          0.000
     12/01/1989          0.000          0.000             20          steer        414.000        215.457          1.154          0.613         -1.365          0.000
     13/01/1989          0.000          0.000             20          steer        415.000        214.104          1.120          0.623         -1.352          0.000
     14/01/1989          0.000          0.000             20          steer        416.000        212.761          1.087          0.625         -1.343          0.000
     15/01/1989          0.000          0.000             20          steer        417.000        211.421          1.054          0.616         -1.340          0.000
     16/01/1989          0.000          0.000             20          steer        418.000        210.090          1.021          0.617         -1.331          0.000
     17/01/1989          0.000          0.000             20          steer        419.000        208.767          0.989          0.619         -1.323          0.000
     18/01/1989          0.000          0.000             20          steer        420.000        207.454          0.956          0.623         -1.313          0.000
     19/01/1989          0.000          0.000             20          steer        421.000        206.153          0.924          0.631         -1.302          0.000
     20/01/1989          5.000          0.000             20          steer        422.000        204.860          0.892          0.632         -1.293          0.000
     21/01/1989          0.000          0.000             20          steer        423.000        203.568          0.861          0.619         -1.292          0.000
     22/01/1989          0.000          0.000             20          steer        424.000        202.285          0.829          0.621         -1.283          0.000
