Summary_file = csu-N09.sum
Title = south plots
year,month,day,day_month,period,sw_dep(1),sw_dep(2),sw_dep(3),sw_dep(4),sw_dep(5),sw_dep(6),sw_dep(7),sw_dep(8),sw_dep(9),sw_dep(10),sw_dep(11),sw_dep(12),sw_dep(13),sw_dep(14),sw_dep(15),sw_dep(16),sw_dep(17),sw_dep(18),sw_dep(19),sw_dep(20),no3(1),no3(2),no3(3),no3(4),no3(5),no3(6),no3(7),no3(8),no3(9),no3(10),no3(11),no3(12),no3(13),no3(14),no3(15),no3(16),no3(17),no3(18),no3(19),no3(20),nh4(1),nh4(2),nh4(3),nh4(4),nh4(5),nh4(6),nh4(7),nh4(8),nh4(9),nh4(10),nh4(11),nh4(12),nh4(13),nh4(14),nh4(15),nh4(16),nh4(17),nh4(18),nh4(19),nh4(20),no3_025,no3_2590,nh4_025,nh4_2590,sw_dep_025,sw_dep_2590,sw_dep_90180,no3_030,no3_3080,nh4_030,nh4_3080,sw_dep_030,sw_dep_3080,rain,W_ep,L_ep,C_ep,swdep,es,runoff,drain,eo,h,drain_25,drain_90,leach_25,leach_90,cum_rain,cum_ET,cum_drain,cum_E,cum_T,no3(),nh4(),nit_tot(),leach_no3,urea(),biom_n(),fom_n(),hum_n(),sum@soiln2_dnit[],sum@soiln2_dlt_n_min[],surfaceom_n,surfaceom_wt,surfaceom_cover,L_dlt_n_fixed,C_dlt_n_fixed,W_plantn,W_topsn,L_biomass_n,L_n_uptake,C_biomass_n,C_n_uptake,cum_nmin010,cum_nmin1020,cum_nmin2030,no3_010,nh4_010,fom_n_010,biom_n_010,hum_n_010,no3_sol_20,no3_sol_30,no3_sol_50,no3_sol_90,drain180
(year),(month),(day),(day),(),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(),(),(),(),(),(),(),(),(),(),(),(),(),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(),(),(),(),(),(),(),(),(),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(kg/ha),(m^2/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(g/m^2),(),(),(),(),(),(),(),(),(ppm),(ppm),(ppm),(ppm),()
1992,12,363,28,     0.000,     1.347,     5.134,    10.075,    18.867,    22.006,    24.978,    38.982,    56.159,    60.634,    63.652,    62.543,    66.928,    67.022,    64.553,    67.045,    64.567,    65.770,    67.002,    50.252,    16.751,     0.000,     0.000,     0.349,     0.425,     0.792,     1.068,     1.333,     2.103,     1.832,     3.327,     1.965,     1.786,     1.782,     1.943,     1.782,     1.939,     1.855,     1.767,     1.322,     0.441,     0.000,     0.000,     0.006,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.014,     0.012,     0.014,     0.016,     0.021,     0.022,     0.027,     0.029,     0.030,     0.023,     0.008,     0.774,     6.212,     0.006,     0.000,    35.423,   172.442,   290.462,     1.170,     4.900,     0.006,     0.000,    46.426,   131.122,     5.600,     0.000,     0.000,     0.000,   894.267,     5.966,     0.000,     0.543,    86.534,     0.000,    -0.014,    -0.771,     0.005,    -0.053,     5.600,     5.966,     0.546,     5.966,     0.000,    27.811,     0.221,  6440.484,     0.013,     0.000,   147.208,    47.278,  6217.965,     0.003,    -7.136,    56.021,  9803.674,     0.993,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.188,    -1.201,    -2.198,     0.116,     0.002,    27.829,    96.083,  1305.802,     2.254,     3.597,     3.418,     3.022,     0.484
1993,1,12,12,     0.000,     1.949,     9.547,    14.230,    18.812,    22.010,    24.957,    39.014,    56.424,    60.775,    63.351,    62.275,    66.723,    66.905,    64.494,    67.024,    64.553,    65.756,    66.992,    50.248,    16.749,     0.000,     0.066,     0.027,     0.037,     0.333,     0.669,     1.173,     1.957,     1.831,     3.284,     1.996,     1.808,     1.807,     1.960,     1.818,     1.963,     1.890,     1.804,     1.348,     0.449,     0.000,     0.183,     0.094,     0.000,     0.000,     0.000,     0.001,     0.000,     0.000,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.003,     0.003,     0.003,     0.002,     0.001,     0.130,     5.048,     0.277,     0.001,    44.538,   172.792,   289.642,     0.296,     3.966,     0.277,     0.001,    55.543,   131.400,    15.900,     0.000,     0.000,     0.000,   902.788,     6.799,     0.000,     0.581,   105.413,     0.000,    -0.029,    -1.207,    -0.012,    -0.098,    21.500,    12.764,     1.131,    12.764,     0.000,    26.218,     0.302,  6441.550,     0.015,     0.000,   153.684,    44.204,  6217.143,     0.002,     1.090,    54.936,  9613.832,     0.992,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     2.609,    -1.316,    -2.631,     0.075,     0.214,    27.747,    96.984,  1305.619,     0.197,     1.511,     3.006,     3.012,     0.939
1993,1,27,27,     0.000,     1.341,     7.284,    14.253,    18.825,    22.014,    24.940,    39.093,    56.622,    60.800,    63.186,    62.095,    66.558,    66.773,    64.394,    66.968,    64.517,    65.736,    66.978,    50.239,    16.747,     0.000,     0.029,     0.029,     0.039,     0.403,     0.700,     1.306,     2.034,     1.894,     3.254,     2.018,     1.821,     1.818,     1.959,     1.834,     1.965,     1.899,     1.815,     1.355,     0.452,     0.000,     0.079,     0.098,     0.000,     0.046,     0.030,     0.033,     0.016,     0.006,     0.004,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.001,     0.000,     0.097,     5.390,     0.177,     0.128,    41.703,   173.069,   289.012,     0.299,     4.241,     0.200,     0.102,    52.710,   131.662,     3.200,     0.000,     0.000,     0.000,   899.364,     5.699,     0.000,     0.575,   108.250,     0.000,    -0.044,    -1.510,    -0.027,    -0.137,    24.700,    18.813,     1.703,    18.463,     0.350,    26.623,     0.327,  6442.861,     0.015,     0.000,   158.405,    41.682,  6215.822,     0.001,     3.576,    53.623,  9384.089,     0.991,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     5.183,    -1.113,    -2.580,     0.039,     0.112,    27.458,    98.682,  1305.346,     0.205,     1.833,     3.342,     3.115,     1.277
1993,2,42,11,     0.000,     1.672,     7.908,    14.172,    18.827,    21.980,    24.931,    39.191,    56.750,    60.803,    63.073,    61.961,    66.427,    66.655,    64.289,    66.897,    64.462,    65.701,    66.956,    50.226,    16.743,     0.000,     0.039,     0.030,     0.038,     0.291,     0.956,     1.606,     2.234,     1.996,     3.238,     2.042,     1.835,     1.829,     1.959,     1.850,     1.966,     1.907,     1.826,     1.361,     0.453,     0.000,     0.108,     0.095,     0.000,     0.101,     0.058,     0.045,     0.025,     0.009,     0.005,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.001,     0.000,     0.107,     6.085,     0.203,     0.234,    42.579,   173.254,   288.518,     0.252,     4.941,     0.254,     0.178,    53.569,   131.862,     6.800,     0.000,     0.000,     0.000,   899.622,     5.041,     0.000,     0.565,   108.896,     0.000,    -0.059,    -1.745,    -0.046,    -0.167,    31.500,    24.788,     2.269,    23.503,     1.285,    27.457,     0.461,  6443.436,     0.015,     0.000,   161.587,    39.411,  6214.519,     0.000,     3.727,    52.644,  9212.706,     0.990,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     7.255,    -0.969,    -2.417,     0.049,     0.140,    27.006,   100.044,  1305.136,     0.201,     1.326,     4.098,     3.283,     1.535
1993,2,57,26,     0.000,     7.439,    15.040,    19.619,    26.498,    23.263,    24.928,    39.286,    56.834,    60.801,    62.988,    61.856,    66.320,    66.553,    64.191,    66.823,    64.396,    65.655,    66.923,    50.206,    16.736,     0.061,     0.057,     0.033,     0.035,     0.181,     0.363,     1.936,     2.462,     2.108,     3.229,     2.065,     1.849,     1.840,     1.959,     1.864,     1.968,     1.915,     1.835,     1.367,     0.455,     0.117,     0.158,     0.147,     0.020,     0.124,     0.059,     0.042,     0.030,     0.011,     0.006,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.001,     0.000,     0.186,     5.996,     0.442,     0.260,    68.596,   174.712,   288.117,     0.276,     4.852,     0.504,     0.193,    80.228,   132.680,    37.800,     0.000,     0.000,     0.000,   926.355,     6.936,     0.000,     0.551,    89.414,     0.000,     1.458,    -1.937,    -0.055,    -0.197,    69.300,    35.306,     2.819,    30.440,     4.866,    27.583,     0.729,  6443.679,     0.015,     0.000,   164.840,    37.450,  6213.078,     0.001,     6.893,    50.662,  8865.839,     0.988,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    11.922,    -0.675,    -2.155,     0.129,     0.324,    26.634,   101.705,  1304.788,     0.133,     0.779,     4.929,     3.468,     1.743
1993,3,72,13,     0.000,     3.357,     9.295,    15.671,    24.008,    23.728,    24.954,    39.369,    56.893,    60.799,    62.920,    61.770,    66.230,    66.465,    64.100,    66.750,    64.328,    65.603,    66.882,    50.180,    16.727,     0.012,     0.060,     0.049,     0.047,     0.167,     0.166,     1.462,     2.711,     2.229,     3.228,     2.087,     1.864,     1.852,     1.960,     1.879,     1.971,     1.923,     1.846,     1.373,     0.457,     0.042,     0.167,     0.182,     0.026,     0.150,     0.069,     0.050,     0.029,     0.011,     0.005,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.001,     0.000,     0.168,     5.621,     0.417,     0.303,    52.331,   175.344,   287.784,     0.251,     4.423,     0.492,     0.223,    64.195,   133.080,     4.800,     0.000,     0.000,     0.000,   910.029,     8.631,     0.000,     0.531,    87.110,     0.000,     2.652,    -2.097,    -0.056,    -0.227,    74.100,    55.898,     3.350,    39.070,    16.828,    27.343,     0.747,  6444.609,     0.014,     0.000,   169.908,    35.067,  6211.542,     0.000,     9.719,    47.465,  8306.424,     0.984,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    18.999,    -0.238,    -1.824,     0.088,     0.270,    26.145,   104.548,  1304.393,     0.195,     0.703,     3.715,     3.667,     1.915
1993,3,87,28,     0.000,     6.386,    12.827,    18.109,    21.005,    21.785,    24.496,    39.347,    56.924,    60.796,    62.864,    61.698,    66.153,    66.386,    64.018,    66.682,    64.260,    65.548,    66.836,    50.148,    16.717,     0.059,     0.060,     0.034,     0.058,     0.238,     0.166,     0.164,     2.918,     2.352,     3.229,     2.110,     1.880,     1.864,     1.962,     1.893,     1.974,     1.931,     1.856,     1.378,     0.459,     0.120,     0.167,     0.166,     0.008,     0.144,     0.063,     0.045,     0.031,     0.012,     0.005,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.001,     0.000,     0.211,     4.662,     0.461,     0.289,    58.327,   172.950,   287.499,     0.330,     3.367,     0.533,     0.211,    69.219,   131.660,    16.800,     0.000,     0.000,     0.000,   912.987,     3.660,     0.000,     0.506,    76.640,     0.000,     2.648,    -2.234,    -0.062,    -0.249,    90.900,    69.236,     3.856,    42.731,    26.505,    26.585,     0.778,  6443.010,     0.014,     0.000,   172.277,    33.081,  6210.290,     0.000,     4.398,    46.445,  8127.858,     0.983,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    21.008,     0.061,    -1.508,     0.130,     0.342,    25.786,   105.963,  1304.240,     0.276,     1.093,     0.417,     3.868,     2.060
1993,3,90,31,     0.000,     4.125,    11.020,    16.714,    21.007,    21.760,    24.490,    39.355,    56.926,    60.795,    62.855,    61.684,    66.139,    66.372,    64.003,    66.669,    64.247,    65.536,    66.827,    50.142,    16.715,     0.056,     0.084,     0.049,     0.058,     0.236,     0.161,     0.150,     2.947,     2.372,     3.228,     2.114,     1.882,     1.866,     1.962,     1.895,     1.975,     1.932,     1.857,     1.380,     0.459,     0.030,     0.105,     0.160,     0.012,     0.129,     0.056,     0.045,     0.033,     0.013,     0.006,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.001,     0.000,     0.247,     4.680,     0.307,     0.269,    52.866,   172.928,   287.448,     0.365,     3.376,     0.371,     0.198,    63.746,   131.651,     0.000,     0.000,     0.000,     0.000,   907.381,     2.971,     0.000,     0.098,    14.482,     0.000,     2.648,    -2.258,    -0.065,    -0.252,    90.900,    74.744,     3.955,    45.703,    29.041,    26.665,     0.605,  6443.204,     0.003,     0.000,   173.216,    32.636,  6210.084,     0.000,     1.341,     2.199,   384.820,     0.175,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    21.962,     0.113,    -1.458,     0.156,     0.188,    25.638,   106.546,  1304.203,     0.278,     1.086,     0.380,     3.902,     2.087
1993,4,91,1,     1.000,     2.899,    10.324,    16.301,    20.999,    21.749,    24.486,    39.357,    56.927,    60.794,    62.851,    61.680,    66.135,    66.367,    63.998,    66.664,    64.243,    65.533,    66.824,    50.139,    16.714,     0.012,     0.105,     0.060,     0.059,     0.234,     0.158,     0.147,     2.956,     2.379,     3.227,     2.116,     1.883,     1.867,     1.963,     1.896,     1.975,     1.933,     1.858,     1.380,     0.460,     0.001,     0.085,     0.134,     0.014,     0.126,     0.054,     0.045,     0.033,     0.013,     0.006,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.001,     0.000,     0.236,     4.685,     0.234,     0.264,    50.523,   172.916,   287.430,     0.353,     3.378,     0.297,     0.195,    61.398,   131.645,     0.000,     0.000,     0.000,     0.000,   904.984,     1.617,     0.000,     0.032,     3.684,     0.000,     0.000,    -0.008,    -0.001,    -0.001,     0.000,     2.364,     0.032,     1.617,     0.747,    26.666,     0.527,  6443.215,     0.001,     0.000,   173.542,    32.458,  6210.022,     0.000,     0.253,     2.100,   367.543,     0.168,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    22.093,     0.129,    -1.441,     0.137,     0.131,    25.555,   106.784,  1304.197,     0.283,     1.077,     0.373,     3.913,     0.009
1993,4,105,15,     1.000,     1.275,     5.693,    13.780,    20.444,    21.090,    23.970,    39.230,    56.916,    60.784,    62.808,    61.624,    66.074,    66.304,    63.930,    66.605,    64.182,    65.481,    66.779,    50.107,    16.704,     0.011,     0.005,     0.242,     0.130,     0.263,     0.168,     0.154,     3.117,     2.485,     3.228,     2.136,     1.897,     1.878,     1.965,     1.909,     1.978,     1.940,     1.867,     1.385,     0.461,     0.000,     0.000,     0.270,     0.061,     0.131,     0.057,     0.043,     0.032,     0.012,     0.005,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.001,     0.000,     0.388,     4.944,     0.331,     0.269,    41.192,   171.598,   287.202,     0.520,     3.571,     0.397,     0.198,    51.737,   130.661,     0.000,     0.000,     0.000,     0.000,   893.781,     3.799,     0.000,     0.442,    63.747,     0.000,     0.000,    -0.116,    -0.011,    -0.015,     0.000,    13.127,     0.474,     5.416,     7.711,    27.220,     0.628,  6443.244,     0.012,     0.000,   174.850,    31.524,  6209.023,     0.000,     2.555,     0.912,   159.587,     0.077,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    22.594,     0.413,    -1.115,     0.097,     0.090,    25.589,   107.909,  1304.117,     0.636,     1.245,     0.392,     4.089,     0.124
1993,4,120,30,     1.000,     1.260,     4.238,    13.437,    20.354,    20.998,    23.923,    39.253,    56.884,    60.763,    62.766,    61.571,    66.016,    66.243,    63.863,    66.546,    64.120,    65.426,    66.730,    50.072,    16.692,     0.015,     0.025,     0.440,     0.308,     0.571,     0.382,     0.410,     3.263,     2.589,     3.229,     2.156,     1.912,     1.889,     1.967,     1.921,     1.981,     1.947,     1.876,     1.391,     0.463,     0.000,     0.003,     0.107,     0.054,     0.097,     0.046,     0.044,     0.034,     0.013,     0.006,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.001,     0.000,     0.788,     5.920,     0.164,     0.228,    39.289,   171.439,   286.977,     1.074,     4.340,     0.213,     0.172,    49.788,   130.559,     0.000,     0.000,     0.000,     0.000,   891.156,     1.518,     0.000,     0.449,    62.963,     0.000,     0.000,    -0.221,    -0.020,    -0.030,     0.000,    15.305,     0.922,     6.935,     8.370,    28.736,     0.418,  6444.278,     0.012,     0.000,   174.965,    31.991,  6208.169,     0.000,     1.598,     7.407,  1326.644,     0.421,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    22.628,     0.533,    -0.834,     0.187,     0.039,    26.072,   108.046,  1304.086,     1.513,     2.721,     1.043,     4.261,     0.233
1993,5,121,1,     1.000,     1.260,     4.185,    13.429,    20.354,    20.998,    23.928,    39.257,    56.882,    60.762,    62.763,    61.567,    66.013,    66.239,    63.858,    66.542,    64.116,    65.422,    66.727,    50.070,    16.691,     0.015,     0.026,     0.447,     0.322,     0.595,     0.399,     0.430,     3.272,     2.596,     3.229,     2.158,     1.913,     1.889,     1.967,     1.922,     1.981,     1.948,     1.877,     1.391,     0.463,     0.000,     0.003,     0.102,     0.055,     0.096,     0.046,     0.044,     0.034,     0.013,     0.006,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.001,     0.000,     0.810,     5.994,     0.160,     0.227,    39.228,   171.446,   286.963,     1.107,     4.398,     0.208,     0.172,    49.727,   130.566,     0.400,     0.000,     0.000,     0.000,   891.066,     0.462,     0.000,     0.029,     3.899,     0.000,     0.000,    -0.228,    -0.021,    -0.031,     0.400,    15.767,     0.951,     7.397,     8.370,    28.841,     0.413,  6444.279,     0.001,     0.000,   174.965,    31.943,  6208.116,     0.000,     0.101,     7.407,  1326.644,     0.421,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.002,     0.008,     0.019,     0.190,     0.037,    26.065,   108.054,  1304.085,     1.581,     2.833,     1.095,     4.272,     0.240
1993,5,136,16,     1.000,     1.385,     9.669,    14.167,    20.352,    21.005,    24.005,    39.300,    56.871,    60.743,    62.724,    61.519,    65.961,    66.184,    63.797,    66.487,    64.058,    65.370,    66.678,    50.034,    16.679,     0.000,     0.023,     0.162,     0.542,     0.928,     0.636,     0.717,     3.396,     2.690,     3.228,     2.177,     1.928,     1.900,     1.970,     1.934,     1.985,     1.954,     1.886,     1.397,     0.465,     0.000,     0.098,     0.049,     0.062,     0.089,     0.046,     0.046,     0.035,     0.013,     0.006,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.001,     0.000,     0.727,     7.022,     0.209,     0.222,    45.573,   171.552,   286.759,     1.191,     5.213,     0.253,     0.171,    56.075,   130.678,    12.800,     0.000,     0.000,     0.000,   896.988,     6.457,     0.000,     0.422,    45.658,     0.000,     0.000,    -0.322,    -0.036,    -0.046,    13.200,    22.223,     1.373,    13.853,     8.370,    29.917,     0.460,  6444.638,     0.012,     0.000,   175.584,    31.302,  6207.375,     0.000,     2.048,     7.036,  1260.163,     0.405,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.581,     0.150,     0.297,     0.077,     0.114,    25.961,   108.673,  1304.061,     2.662,     4.417,     1.825,     4.428,     0.339
1993,5,144,24,     1.000,     1.293,     7.889,    14.227,    20.351,    21.009,    24.045,    39.316,    56.867,    60.734,    62.704,    61.495,    65.935,    66.156,    63.766,    66.460,    64.028,    65.342,    66.653,    50.016,    16.673,     0.003,     0.049,     0.083,     0.640,     1.068,     0.737,     0.844,     3.444,     2.733,     3.226,     2.186,     1.935,     1.905,     1.970,     1.940,     1.986,     1.958,     1.890,     1.400,     0.466,     0.000,     0.022,     0.103,     0.058,     0.080,     0.047,     0.047,     0.036,     0.014,     0.006,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.001,     0.000,     0.775,     7.459,     0.183,     0.217,    43.760,   171.604,   286.657,     1.309,     5.559,     0.223,     0.170,    54.264,   130.732,     0.000,     0.000,     0.000,     0.000,   894.960,     1.814,     0.000,     0.215,    23.926,     0.000,     0.000,    -0.370,    -0.044,    -0.054,    13.200,    24.038,     1.589,    15.668,     8.370,    30.462,     0.430,  6444.897,     0.006,     0.000,   176.160,    30.826,  6207.019,     0.000,     1.175,     6.771,  1212.694,     0.393,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     1.039,     0.253,     0.421,     0.080,     0.056,    25.725,   109.246,  1304.029,     3.144,     5.084,     2.146,     4.499,     0.387
1993,5,145,25,     2.000,     1.286,     7.728,    14.227,    20.351,    21.009,    24.050,    39.318,    56.866,    60.733,    62.702,    61.493,    65.932,    66.153,    63.763,    66.456,    64.024,    65.339,    66.650,    50.014,    16.672,     0.004,     0.051,     0.096,     0.652,     1.085,     0.750,     0.860,     3.451,     2.738,     3.226,     2.187,     1.935,     1.906,     1.971,     1.941,     1.986,     1.958,     1.891,     1.400,     0.466,     0.000,     0.013,     0.114,     0.058,     0.079,     0.047,     0.047,     0.036,     0.014,     0.006,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.001,     0.000,     0.803,     7.515,     0.185,     0.216,    43.592,   171.609,   286.647,     1.345,     5.603,     0.225,     0.169,    54.097,   130.738,     0.000,     0.000,     0.000,     0.000,   894.765,     0.168,     0.000,     0.026,     3.263,     0.000,     0.000,    -0.006,    -0.001,    -0.001,     0.000,     0.168,     0.026,     0.168,     0.000,    30.554,     0.432,  6444.896,     0.001,     0.000,   176.197,    30.741,  6206.972,     0.000,     0.095,     6.771,  1212.694,     0.393,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     1.041,     0.267,     0.438,     0.087,     0.051,    25.671,   109.302,  1304.025,     3.204,     5.166,     2.187,     4.508,     0.006
1993,6,157,6,     2.000,     7.192,    14.515,    19.283,    27.013,    27.094,    25.781,    39.352,    56.862,    60.721,    62.674,    61.459,    65.896,    66.114,    63.719,    66.416,    63.981,    65.299,    66.613,    49.986,    16.663,     0.039,     1.243,     0.060,     0.683,     1.365,     0.960,     1.029,     3.510,     2.796,     3.222,     2.201,     1.946,     1.913,     1.972,     1.949,     1.988,     1.963,     1.897,     1.404,     0.467,     0.326,    14.774,     0.145,     0.072,     0.080,     0.051,     0.050,     0.038,     0.014,     0.006,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.001,     0.000,     2.025,     8.262,    15.317,     0.226,    68.003,   179.449,   286.504,     2.707,     6.181,    15.357,     0.179,    81.550,   135.542,    41.000,     0.000,     0.000,     0.000,   926.634,     8.822,     0.000,     0.309,    25.650,     0.000,     7.767,    -0.075,     0.188,    -0.013,    41.000,     8.988,     0.335,     8.988,     0.000,    32.606,    15.573,  6462.262,     0.009,     0.000,   177.733,    29.785,  6206.566,     0.012,     1.162,     6.386,  1143.648,     0.376,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     1.220,     0.429,     0.604,     1.302,    15.148,    25.039,   110.841,  1304.055,     2.527,     5.037,     2.615,     4.604,     0.078
1993,6,172,21,     2.000,     1.293,     8.167,    17.512,    25.337,    25.480,    27.371,    39.818,    56.921,    60.716,    62.643,    61.420,    65.854,    66.069,    63.668,    66.369,    63.929,    65.251,    66.568,    49.953,    16.652,     3.040,     5.296,     1.087,     0.636,     1.400,     1.163,     1.223,     3.566,     2.858,     3.215,     2.216,     1.957,     1.921,     1.972,     1.958,     1.990,     1.967,     1.904,     1.409,     0.469,     0.889,     0.813,     0.312,     0.081,     0.082,     0.051,     0.050,     0.038,     0.015,     0.006,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.001,     0.000,    10.059,     8.781,     2.095,     0.228,    52.309,   179.948,   286.344,    10.759,     6.652,     2.136,     0.180,    65.049,   136.850,     0.000,     0.426,     0.000,     0.000,   910.991,    14.849,     0.000,     0.368,    37.139,     0.000,     8.186,    -0.150,     0.162,    -0.028,    41.000,    23.838,     0.703,    23.838,     0.000,    41.248,     2.354,  6461.456,     0.010,     0.000,   185.426,    25.860,  6206.567,     0.007,    -2.587,     6.045,  1082.660,     0.360,     0.000,     0.000,     0.141,     0.141,     0.000,     0.000,     0.000,     0.000,    -2.405,     0.621,     0.783,     8.698,     1.806,    21.532,   118.494,  1304.517,     2.512,     5.494,     3.072,     4.708,     0.155
1993,7,187,6,     2.000,     1.280,     6.117,    16.407,    23.699,    24.546,    27.170,    40.253,    57.106,    60.750,    62.621,    61.385,    65.815,    66.027,    63.620,    66.325,    63.880,    65.205,    66.525,    49.920,    16.641,     3.554,     1.856,     0.285,     0.106,     0.096,     0.467,     1.419,     3.635,     2.923,     3.210,     2.230,     1.969,     1.929,     1.974,     1.967,     1.993,     1.972,     1.911,     1.413,     0.470,     0.887,     0.000,     0.353,     0.112,     0.083,     0.050,     0.050,     0.038,     0.014,     0.006,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.001,     0.000,     5.801,     7.079,     1.352,     0.228,    47.503,   179.450,   286.223,     5.849,     5.569,     1.393,     0.179,    59.776,   136.802,     0.000,     3.175,     0.000,     0.000,   905.292,     2.176,     0.000,     0.348,    37.266,     0.000,     8.099,    -0.215,     0.132,    -0.036,    41.000,    26.014,     1.052,    26.014,     0.000,    35.379,     1.610,  6454.235,     0.010,     0.000,   186.632,    24.520,  6206.093,     0.000,     0.646,     6.045,  1082.660,     0.360,     0.000,     0.000,     0.694,     0.694,     0.000,     0.000,     0.000,     0.000,    -3.042,     0.915,     1.018,     5.505,     1.005,    20.549,   120.076,  1304.570,     0.446,     0.390,     3.526,     4.811,     0.230
1993,7,202,21,     2.000,     5.342,    11.498,    17.522,    25.643,    25.953,    29.149,    44.450,    63.938,    64.778,    66.660,    65.020,    69.173,    68.551,    64.151,    66.319,    63.836,    65.161,    66.483,    49.889,    16.631,     0.025,     0.043,     0.077,     0.107,     0.080,     0.059,     0.096,     3.237,     3.202,     3.348,     2.478,     2.110,     2.010,     1.992,     1.976,     1.995,     1.977,     1.918,     1.418,     0.472,     0.039,     0.053,     0.180,     0.135,     0.084,     0.050,     0.050,     0.034,     0.013,     0.005,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.002,     0.001,     0.000,     0.252,     5.073,     0.407,     0.225,    60.005,   195.879,   301.793,     0.292,     3.432,     0.449,     0.176,    72.981,   150.514,    63.200,     3.753,     0.000,     0.000,   950.146,    14.263,     0.000,     0.330,    29.604,     0.000,    41.591,    14.027,     0.754,     0.669,   104.200,    40.277,     1.383,    40.277,     0.000,    28.617,     0.660,  6447.587,     0.009,     0.000,   188.836,    23.749,  6205.726,     0.267,     2.650,     4.998,   895.172,     0.308,     0.000,     0.000,     1.334,     1.332,     0.000,     0.000,     0.000,     0.000,    -1.688,     1.259,     1.239,     0.094,     0.152,    20.017,   122.224,  1304.648,     0.415,     0.307,     0.216,     4.943,     0.915
