Summary_file = peanut.sum
Title = peanut Sample Simulation
       day      year            lai        biomass  green_biomass
     (day)    (year)      (m^2/m^2)        (kg/ha)        (kg/ha)
       320      1988          0.000          0.000          0.000
       321      1988          0.000          0.000          0.000
       322      1988          0.000          0.000          0.000
       323      1988          0.000          0.000          0.000
       324      1988          0.000          0.000          0.000
       325      1988          0.000          0.000          0.000
       326      1988          0.000          0.000          0.000
       327      1988          0.000          0.000          0.000
       328      1988          0.000          0.000          0.000
       329      1988          0.000          0.000          0.000
       330      1988          0.000          0.000          0.000
       331      1988          0.000          0.000          0.000
       332      1988          0.000          0.000          0.000
       333      1988          0.000          0.000          0.000
       334      1988          0.000          0.000          0.000
       335      1988          0.000          0.000          0.000
       336      1988          0.000          0.000          0.000
       337      1988          0.006          4.500          4.500
       338      1988          0.007          5.230          5.230
       339      1988          0.010          6.290          6.290
       340      1988          0.012          7.646          7.646
       341      1988          0.016          9.232          9.232
       342      1988          0.018         10.666         10.666
       343      1988          0.021         12.146         12.146
       344      1988          0.026         14.525         14.525
       345      1988          0.032         17.657         17.657
       346      1988          0.041         22.056         22.056
       347      1988          0.050         26.605         26.605
       348      1988          0.063         32.982         32.982
       349      1988          0.078         40.830         40.830
       350      1988          0.097         50.447         50.447
       351      1988          0.113         58.730         58.730
       352      1988          0.125         64.757         64.757
       353      1988          0.139         72.114         72.114
       354      1988          0.169         88.219         88.219
       355      1988          0.208        108.690        108.690
       356      1988          0.256        135.023        135.023
       357      1988          0.309        164.672        164.672
       358      1988          0.372        200.927        200.927
       359      1988          0.443        243.229        243.229
       360      1988          0.530        295.512        295.512
       361      1988          0.630        357.771        357.771
       362      1988          0.718        414.745        414.745
       363      1988          0.820        500.105        500.105
       364      1988          0.901        589.692        589.511
       365      1988          0.975        680.000        679.617
       366      1988          1.046        774.833        774.232
         1      1989          1.123        879.709        878.885
         2      1989          1.180        957.182        956.125
         3      1989          1.255       1059.157       1057.854
         4      1989          1.346       1184.153       1182.587
         5      1989          1.448       1323.241       1321.403
         6      1989          1.516       1415.913       1413.762
         7      1989          1.604       1536.457       1533.989
         8      1989          1.709       1679.301       1676.505
         9      1989          1.817       1827.664       1824.526
        10      1989          1.927       2003.837       2000.378
        11      1989          2.041       2159.239       2155.410
        12      1989          2.158       2343.402       2339.204
        13      1989          2.281       2533.174       2528.569
