Summary_file=gmtb0s.sum
Title =greenmount b0_swim
           date      soil_loss  erosion_cover
             ()         (t/ha)             ()
     13/10/1976          0.007          0.036
     26/10/1976          3.804          0.032
     31/10/1976          5.674          0.029
      1/11/1976          0.831          0.028
      9/11/1976          2.580          0.026
     10/11/1976          0.626          0.026
     11/11/1976          0.275          0.026
     13/11/1976          0.002          0.024
     14/11/1976          0.494          0.024
     15/11/1976          2.450          0.023
     20/11/1976          0.224          0.021
     21/11/1976          1.741          0.021
     30/11/1976          0.810          0.018
     24/12/1976          2.880          0.015
     26/12/1976          0.002          0.014
     30/12/1976          0.111          0.013
      4/01/1977          0.638          0.012
     16/01/1977          7.242          0.011
     17/01/1977          0.014          0.011
     28/01/1977          0.641          0.010
     21/02/1977          0.011          0.010
     22/02/1977          0.092          0.009
     10/03/1977          1.955          0.008
     11/03/1977          3.128          0.008
     31/03/1977          0.080          0.007
      1/04/1977          0.089          0.007
      8/04/1977          0.413          0.006
     13/04/1977          0.004          0.005
     16/04/1977          0.356          0.005
     22/04/1977          1.814          0.004
     10/05/1977          4.072          0.004
     11/05/1977          0.164          0.004
     14/05/1977          0.480          0.004
     15/05/1977          4.696          0.004
     17/05/1977          0.005          0.004
     18/05/1977          0.002          0.003
     28/05/1977          0.168          0.003
     23/06/1977          0.000          0.003
     24/06/1977          0.057          0.003
     13/08/1977          0.591          0.003
     23/10/1977          0.031          0.003
      3/11/1977          2.488          0.002
      7/11/1977          2.254          0.002
     13/11/1977          0.088          0.002
     14/11/1977          0.294          0.002
     15/11/1977          0.083          0.002
     17/11/1977          0.092          0.002
     20/11/1977          2.877          0.002
     21/11/1977          0.903          0.002
      2/12/1977          1.262          0.001
     18/12/1977          0.000          0.001
      4/01/1978          0.730          0.001
      5/01/1978          0.016          0.001
      6/01/1978          2.843          0.001
     16/01/1978          0.138          0.001
     20/01/1978          1.158          0.001
     25/01/1978          0.005          0.001
     28/01/1978          0.068          0.001
     29/01/1978          1.008          0.001
     31/01/1978          0.102          0.001
     10/02/1978          0.174          0.001
     11/02/1978          0.082          0.001
     16/02/1978          0.132          0.001
     10/03/1978          0.000          0.001
     15/03/1978          1.912          0.001
     16/03/1978          0.292          0.001
     17/03/1978          0.311          0.001
     18/03/1978          0.016          0.001
     19/03/1978          0.036          0.001
     20/03/1978          0.591          0.001
     25/03/1978          0.086          0.000
     28/03/1978          2.557          0.000
     31/03/1978          0.382          0.000
      1/04/1978          0.878          0.000
      2/04/1978          1.371          0.000
      8/04/1978          0.000          0.000
     10/05/1978          0.441          0.000
     18/05/1978          0.159          0.000
      6/06/1978          0.228          0.000
     28/06/1978          0.150          0.000
     29/06/1978          0.227          0.000
      2/07/1978          2.504          0.000
      9/07/1978          0.000          0.000
     10/07/1978          0.743          0.000
     27/07/1978          0.036          0.000
      8/08/1978          0.063          0.000
      9/08/1978          0.097          0.000
     19/08/1978          0.615          0.000
     29/08/1978          0.000          0.000
     31/08/1978          0.838          0.000
      4/09/1978          0.168          0.000
      6/09/1978          1.874          0.000
